dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,5,zhang_mean_fc_nosig11,253.034,0.65,0.589,0.595,5|26|27|33|74,0
indian_pines,6,zhang_mean_fc_nosig11,0.0,0.7,0.666,0.655,5|26|27|33|35|74,0
indian_pines,7,zhang_mean_fc_nosig11,0.0,0.692,0.661,0.646,5|9|26|27|33|35|74,0
indian_pines,8,zhang_mean_fc_nosig11,0.0,0.713,0.682,0.671,5|9|26|27|33|35|56|74,0
indian_pines,9,zhang_mean_fc_nosig11,0.0,0.716,0.7,0.674,5|9|23|26|27|33|35|56|74,0
indian_pines,10,zhang_mean_fc_nosig11,0.0,0.73,0.712,0.69,5|9|23|26|27|33|35|56|72|74,0
indian_pines,11,zhang_mean_fc_nosig11,0.0,0.717,0.701,0.676,5|7|9|23|26|27|33|35|56|72|74,0
indian_pines,12,zhang_mean_fc_nosig11,0.0,0.707,0.695,0.666,5|6|7|9|23|26|27|33|35|56|72|74,0
indian_pines,13,zhang_mean_fc_nosig11,0.0,0.735,0.724,0.698,5|6|7|9|23|26|27|33|35|56|72|74|186,0
indian_pines,14,zhang_mean_fc_nosig11,0.0,0.75,0.741,0.715,5|6|7|9|17|23|26|27|33|35|56|72|74|186,0
indian_pines,15,zhang_mean_fc_nosig11,0.0,0.752,0.745,0.716,5|6|7|9|17|23|24|26|27|33|35|56|72|74|186,0
indian_pines,16,zhang_mean_fc_nosig11,0.0,0.766,0.761,0.733,5|6|7|9|17|23|24|26|27|33|35|41|56|72|74|186,0
indian_pines,17,zhang_mean_fc_nosig11,0.0,0.82,0.802,0.795,5|6|7|9|17|23|24|26|27|33|35|41|56|72|74|125|186,0
indian_pines,18,zhang_mean_fc_nosig11,0.0,0.802,0.789,0.774,5|6|7|9|17|23|24|26|27|33|35|41|56|60|72|74|125|186,0
indian_pines,19,zhang_mean_fc_nosig11,0.0,0.822,0.804,0.797,5|6|7|9|17|23|24|26|27|33|35|41|56|60|72|74|125|179|186,0
indian_pines,20,zhang_mean_fc_nosig11,0.0,0.817,0.795,0.791,2|5|6|7|9|17|23|24|26|27|33|35|41|56|60|72|74|125|179|186,0
indian_pines,21,zhang_mean_fc_nosig11,0.0,0.804,0.784,0.777,2|3|5|6|7|9|17|23|24|26|27|33|35|41|56|60|72|74|125|179|186,0
indian_pines,22,zhang_mean_fc_nosig11,0.0,0.809,0.786,0.782,2|3|5|6|7|9|17|23|24|26|27|30|33|35|41|56|60|72|74|125|179|186,0
indian_pines,23,zhang_mean_fc_nosig11,0.0,0.804,0.782,0.777,2|3|5|6|7|9|15|17|23|24|26|27|30|33|35|41|56|60|72|74|125|179|186,0
indian_pines,24,zhang_mean_fc_nosig11,0.0,0.809,0.783,0.782,2|3|5|6|7|9|15|17|23|24|26|27|30|33|35|41|56|59|60|72|74|125|179|186,0
indian_pines,25,zhang_mean_fc_nosig11,0.0,0.808,0.781,0.78,2|3|5|6|7|9|15|17|23|24|26|27|30|33|35|41|56|59|60|72|74|125|179|181|186,0
indian_pines,26,zhang_mean_fc_nosig11,0.0,0.811,0.784,0.784,2|3|5|6|7|9|15|17|19|23|24|26|27|30|33|35|41|56|59|60|72|74|125|179|181|186,0
indian_pines,27,zhang_mean_fc_nosig11,0.0,0.811,0.782,0.784,2|3|5|6|7|9|15|17|19|23|24|26|27|30|33|35|41|56|59|60|72|74|125|177|179|181|186,0
indian_pines,28,zhang_mean_fc_nosig11,0.0,0.817,0.791,0.791,2|3|5|6|7|9|15|17|19|23|24|26|27|30|33|35|41|56|59|60|72|74|93|125|177|179|181|186,0
indian_pines,29,zhang_mean_fc_nosig11,0.0,0.815,0.792,0.789,2|3|5|6|7|9|15|17|19|23|24|26|27|30|33|35|41|42|56|59|60|72|74|93|125|177|179|181|186,0
indian_pines,30,zhang_mean_fc_nosig11,0.0,0.824,0.8,0.799,2|3|5|6|7|9|15|17|19|23|24|26|27|30|33|35|41|42|56|59|60|64|72|74|93|125|177|179|181|186,0
