dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,5,zhang_mean_fc_nosig13,144.36,0.75,0.75,0.713,23|40|74|148|177
indian_pines,6,zhang_mean_fc_nosig13,0.0,0.758,0.758,0.722,23|40|58|74|148|177
indian_pines,7,zhang_mean_fc_nosig13,0.0,0.773,0.745,0.74,23|40|58|74|93|148|177
indian_pines,8,zhang_mean_fc_nosig13,0.0,0.78,0.766,0.748,23|40|58|74|93|148|177|183
indian_pines,9,zhang_mean_fc_nosig13,0.0,0.796,0.796,0.767,23|40|58|74|93|114|148|177|183
indian_pines,10,zhang_mean_fc_nosig13,0.0,0.796,0.789,0.767,23|34|40|58|74|93|114|148|177|183
indian_pines,11,zhang_mean_fc_nosig13,0.0,0.797,0.79,0.768,23|34|40|58|74|93|114|148|177|183|184
indian_pines,12,zhang_mean_fc_nosig13,0.0,0.791,0.778,0.762,23|34|40|58|74|93|114|142|148|177|183|184
indian_pines,13,zhang_mean_fc_nosig13,0.0,0.791,0.789,0.76,3|23|34|40|58|74|93|114|142|148|177|183|184
indian_pines,14,zhang_mean_fc_nosig13,0.0,0.789,0.786,0.758,3|23|34|40|58|74|93|114|142|148|177|183|184|185
indian_pines,15,zhang_mean_fc_nosig13,0.0,0.792,0.795,0.762,3|23|34|40|58|72|74|93|114|142|148|177|183|184|185
indian_pines,16,zhang_mean_fc_nosig13,0.0,0.798,0.802,0.77,3|23|34|40|56|58|72|74|93|114|142|148|177|183|184|185
indian_pines,17,zhang_mean_fc_nosig13,0.0,0.796,0.804,0.768,3|23|34|40|56|58|72|74|93|114|142|148|177|183|184|185|186
indian_pines,18,zhang_mean_fc_nosig13,0.0,0.8,0.802,0.771,3|23|26|34|40|56|58|72|74|93|114|142|148|177|183|184|185|186
indian_pines,19,zhang_mean_fc_nosig13,0.0,0.799,0.799,0.77,3|23|26|34|40|56|58|72|74|75|93|114|142|148|177|183|184|185|186
indian_pines,20,zhang_mean_fc_nosig13,0.0,0.799,0.804,0.771,3|23|26|34|40|56|58|72|74|75|93|98|114|142|148|177|183|184|185|186
indian_pines,21,zhang_mean_fc_nosig13,0.0,0.801,0.802,0.773,3|23|26|33|34|40|56|58|72|74|75|93|98|114|142|148|177|183|184|185|186
indian_pines,22,zhang_mean_fc_nosig13,0.0,0.805,0.793,0.777,3|23|26|33|34|40|56|58|72|74|75|88|93|98|114|142|148|177|183|184|185|186
indian_pines,23,zhang_mean_fc_nosig13,0.0,0.795,0.76,0.766,3|23|26|33|34|40|56|58|60|72|74|75|88|93|98|114|142|148|177|183|184|185|186
indian_pines,24,zhang_mean_fc_nosig13,0.0,0.798,0.772,0.769,3|23|26|33|34|40|56|58|60|72|74|75|88|89|93|98|114|142|148|177|183|184|185|186
indian_pines,25,zhang_mean_fc_nosig13,0.0,0.798,0.758,0.769,3|23|26|33|34|40|56|58|60|72|74|75|88|89|93|98|114|142|148|177|183|184|185|186|195
indian_pines,26,zhang_mean_fc_nosig13,0.0,0.801,0.763,0.772,3|20|23|26|33|34|40|56|58|60|72|74|75|88|89|93|98|114|142|148|177|183|184|185|186|195
indian_pines,27,zhang_mean_fc_nosig13,0.0,0.798,0.738,0.77,3|20|23|26|33|34|40|56|58|60|72|74|75|87|88|89|93|98|114|142|148|177|183|184|185|186|195
indian_pines,28,zhang_mean_fc_nosig13,0.0,0.801,0.741,0.773,3|20|23|26|33|34|40|56|58|60|61|72|74|75|87|88|89|93|98|114|142|148|177|183|184|185|186|195
indian_pines,29,zhang_mean_fc_nosig13,0.0,0.79,0.749,0.76,0|3|20|23|26|33|34|40|56|58|60|61|72|74|75|87|88|89|93|98|114|142|148|177|183|184|185|186|195
indian_pines,30,zhang_mean_fc_nosig13,0.0,0.798,0.763,0.77,0|3|19|20|23|26|33|34|40|56|58|60|61|72|74|75|87|88|89|93|98|114|142|148|177|183|184|185|186|195
