epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.757,200.0,0.001,14.1421356,7.9e-05,2.957,0.002,0.062,0,0.001,0.062,0,0.54,0.507,0.474,1.0,1.0,1.0,1.0,1.0,1.0,200,200,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25,1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.669,189.1003723,0.001,13.3759203,7.9e-05,1.858,0.406,0.162,0.264,0.423,0.176,0.286,0.789,0.795,0.759,0.904,1.032,0.946,0.904,1.032,0.946,200,200,39|155|161|187|54|28|41|178|171|176|154|174|113|46|158|188|147|12|80|139|192|110|138|190|164|24,1.032|1.007|1.005|1.0|0.996|0.995|0.994|0.993|0.991|0.991|0.989|0.989|0.986|0.985|0.983|0.983|0.983|0.981|0.981|0.981|0.981|0.979|0.979|0.975|0.974|0.974,0.926,0.922,0.905,0.923,0.906,0.923,0.917,0.926,0.915,0.926,0.914,0.913,0.981,0.904,0.947,0.917,0.962,0.96,0.916,0.926,0.927,0.942,0.923,0.938,0.974,0.937,0.919,0.929,0.995,0.96,0.924,0.924,0.917,0.93,0.931,0.919,0.96,0.92,0.956,1.032,0.947,0.994,0.94,0.958,0.945,0.94,0.985,0.936,0.934,0.938,0.956,0.961,0.954,0.955,0.996,0.948,0.941,0.928,0.922,0.952,0.945,0.938,0.972,0.931,0.956,0.95,0.938,0.938,0.946,0.965,0.973,0.97,0.933,0.927,0.952,0.954,0.927,0.969,0.965,0.933,0.981,0.925,0.954,0.95,0.949,0.911,0.921,0.938,0.948,0.931,0.938,0.915,0.951,0.939,0.944,0.925,0.954,0.959,0.948,0.953,0.913,0.922,0.921,0.95,0.922,0.963,0.909,0.955,0.917,0.954,0.979,0.969,0.926,0.986,0.97,0.921,0.925,0.927,0.915,0.916,0.917,0.915,0.921,0.969,0.922,0.922,0.973,0.93,0.915,0.961,0.923,0.972,0.909,0.927,0.959,0.953,0.954,0.932,0.979,0.981,0.955,0.92,0.921,0.941,0.929,0.917,0.935,0.983,0.968,0.973,0.94,0.943,0.954,0.942,0.989,1.007,0.973,0.969,0.983,0.947,0.972,1.005,0.928,0.927,0.974,0.917,0.967,0.929,0.969,0.944,0.963,0.991,0.917,0.936,0.989,0.955,0.991,0.917,0.993,0.967,0.945,0.917,0.94,0.929,0.932,0.919,0.929,1.0,0.983,0.969,0.975,0.961,0.981,0.941,0.972,0.963,0.944,0.963,0.911,0.964
20,1.474,182.3185425,0.001,12.9038792,7.9e-05,1.657,0.461,0.234,0.338,0.474,0.244,0.354,0.771,0.74,0.739,0.829,1.045,0.912,0.829,1.045,0.912,200,200,39|155|161|187|54|41|178|176|171|28|154|174|113|147|46|188|192|158|74|148|110|190|139|50|138|71,1.045|1.004|1.002|0.988|0.988|0.985|0.985|0.983|0.981|0.98|0.979|0.973|0.972|0.971|0.97|0.965|0.965|0.965|0.964|0.959|0.959|0.959|0.958|0.957|0.956|0.956,0.889,0.871,0.829,0.86,0.831,0.85,0.843,0.861,0.851,0.871,0.85,0.844,0.953,0.831,0.882,0.858,0.926,0.922,0.849,0.875,0.879,0.898,0.882,0.908,0.95,0.911,0.875,0.897,0.98,0.947,0.888,0.889,0.868,0.88,0.89,0.866,0.937,0.886,0.93,1.045,0.938,0.985,0.928,0.944,0.93,0.919,0.97,0.919,0.908,0.916,0.957,0.954,0.941,0.941,0.988,0.929,0.943,0.896,0.881,0.928,0.936,0.922,0.956,0.895,0.926,0.909,0.911,0.92,0.908,0.945,0.949,0.956,0.901,0.904,0.964,0.917,0.893,0.937,0.938,0.897,0.95,0.891,0.907,0.909,0.923,0.862,0.873,0.903,0.927,0.902,0.904,0.862,0.904,0.885,0.914,0.886,0.909,0.924,0.903,0.904,0.848,0.878,0.863,0.886,0.865,0.93,0.852,0.937,0.878,0.927,0.959,0.934,0.89,0.972,0.947,0.874,0.877,0.876,0.862,0.862,0.861,0.855,0.872,0.933,0.876,0.871,0.943,0.881,0.866,0.92,0.867,0.947,0.848,0.879,0.923,0.91,0.916,0.889,0.956,0.958,0.921,0.877,0.875,0.892,0.879,0.868,0.911,0.971,0.959,0.95,0.913,0.914,0.942,0.931,0.979,1.004,0.952,0.939,0.965,0.917,0.948,1.002,0.896,0.881,0.952,0.857,0.948,0.893,0.947,0.924,0.93,0.981,0.86,0.906,0.973,0.947,0.983,0.886,0.985,0.933,0.924,0.867,0.922,0.894,0.908,0.873,0.902,0.988,0.965,0.926,0.959,0.951,0.965,0.909,0.947,0.943,0.913,0.92,0.845,0.923
30,1.387,176.2721863,0.001,12.4855919,7.9e-05,1.563,0.472,0.245,0.354,0.479,0.249,0.363,0.771,0.757,0.739,0.758,1.051,0.881,0.0,1.051,0.838,200,189,39|161|155|74|176|178|187|154|54|171|41|147|113|174|148|188|28|158|110|192|139|46|50|56|138|62,1.051|0.995|0.994|0.991|0.975|0.975|0.973|0.97|0.969|0.967|0.965|0.963|0.961|0.959|0.951|0.949|0.945|0.944|0.943|0.943|0.941|0.941|0.94|0.94|0.94|0.939,0.913,0.829,0.0,0.809,0.0,0.0,0.0,0.804,0.0,0.828,0.0,0.0,0.928,0.0,0.826,0.804,0.895,0.885,0.0,0.829,0.846,0.865,0.857,0.886,0.932,0.883,0.834,0.855,0.945,0.925,0.87,0.847,0.83,0.843,0.868,0.827,0.915,0.856,0.902,1.051,0.923,0.965,0.907,0.92,0.907,0.892,0.941,0.896,0.876,0.889,0.94,0.935,0.916,0.922,0.969,0.911,0.94,0.861,0.846,0.902,0.937,0.906,0.939,0.855,0.891,0.873,0.881,0.884,0.866,0.915,0.923,0.931,0.868,0.878,0.991,0.88,0.865,0.906,0.916,0.869,0.924,0.857,0.86,0.875,0.899,0.822,0.836,0.87,0.92,0.89,0.879,0.818,0.869,0.851,0.884,0.851,0.864,0.901,0.861,0.858,0.0,0.84,0.813,0.829,0.813,0.904,0.803,0.922,0.852,0.907,0.943,0.904,0.864,0.961,0.926,0.834,0.838,0.84,0.825,0.82,0.819,0.811,0.831,0.901,0.839,0.832,0.921,0.836,0.826,0.889,0.826,0.928,0.804,0.842,0.901,0.877,0.887,0.855,0.94,0.941,0.899,0.843,0.844,0.85,0.83,0.828,0.891,0.963,0.951,0.937,0.89,0.882,0.929,0.917,0.97,0.994,0.928,0.911,0.944,0.892,0.928,0.995,0.873,0.844,0.933,0.808,0.928,0.855,0.93,0.907,0.897,0.967,0.82,0.882,0.959,0.932,0.975,0.859,0.975,0.905,0.901,0.831,0.897,0.865,0.881,0.838,0.872,0.973,0.949,0.887,0.937,0.932,0.943,0.879,0.919,0.923,0.88,0.873,0.0,0.884
40,1.331,170.0553894,0.001,12.0598783,7.9e-05,1.501,0.5,0.292,0.396,0.528,0.333,0.431,0.765,0.747,0.732,0.675,1.06,0.85,0.0,1.06,0.702,200,161,74|39|0|161|155|60|176|178|147|154|88|187|113|171|24|56|174|148|54|138|41|28|110|139|149|188,1.06|1.041|1.01|0.978|0.974|0.964|0.96|0.958|0.956|0.956|0.949|0.949|0.947|0.947|0.943|0.943|0.94|0.94|0.93|0.927|0.926|0.926|0.926|0.926|0.924|0.922,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828,0.0,0.0,0.91,0.0,0.0,0.0,0.881,0.871,0.0,0.817,0.852,0.86,0.859,0.895,0.943,0.87,0.805,0.823,0.926,0.905,0.873,0.819,0.807,0.83,0.87,0.0,0.887,0.818,0.858,1.041,0.889,0.926,0.867,0.883,0.866,0.847,0.89,0.851,0.833,0.844,0.899,0.897,0.867,0.881,0.93,0.873,0.943,0.811,0.803,0.866,0.964,0.878,0.91,0.803,0.84,0.822,0.836,0.83,0.814,0.868,0.885,0.892,0.819,0.842,1.06,0.845,0.823,0.867,0.89,0.84,0.893,0.818,0.806,0.839,0.874,0.0,0.81,0.84,0.949,0.916,0.868,0.0,0.828,0.829,0.851,0.813,0.819,0.874,0.812,0.813,0.0,0.806,0.0,0.0,0.0,0.878,0.0,0.908,0.831,0.887,0.926,0.879,0.84,0.947,0.906,0.0,0.804,0.809,0.0,0.0,0.0,0.0,0.0,0.873,0.806,0.0,0.904,0.0,0.0,0.861,0.0,0.909,0.0,0.809,0.883,0.847,0.864,0.823,0.927,0.926,0.881,0.813,0.817,0.807,0.0,0.0,0.871,0.956,0.94,0.924,0.866,0.849,0.912,0.897,0.956,0.974,0.901,0.879,0.917,0.861,0.905,0.978,0.847,0.804,0.908,0.0,0.902,0.81,0.905,0.885,0.862,0.947,0.0,0.857,0.94,0.911,0.96,0.83,0.958,0.869,0.862,0.0,0.861,0.831,0.844,0.801,0.832,0.949,0.922,0.845,0.908,0.903,0.912,0.843,0.884,0.9,0.846,0.827,0.0,0.844
50,1.283,164.2527924,0.001,11.6784782,7.9e-05,1.448,0.523,0.322,0.425,0.54,0.344,0.446,0.767,0.742,0.733,0.586,1.14,0.821,0.0,1.14,0.558,200,128,74|0|39|60|88|56|89|24|161|155|147|176|178|154|113|148|187|171|28|23|174|138|139|41|149|54,1.14|1.121|1.038|1.011|1.006|0.968|0.967|0.962|0.95|0.944|0.942|0.94|0.933|0.93|0.923|0.921|0.919|0.917|0.917|0.916|0.914|0.911|0.911|0.91|0.906|0.905,1.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859,0.0,0.0,0.894,0.0,0.0,0.0,0.879,0.882,0.0,0.826,0.871,0.873,0.872,0.916,0.962,0.864,0.0,0.0,0.917,0.888,0.878,0.0,0.0,0.838,0.891,0.0,0.871,0.0,0.833,1.038,0.871,0.91,0.846,0.861,0.844,0.82,0.864,0.827,0.808,0.815,0.876,0.873,0.839,0.856,0.905,0.851,0.968,0.0,0.0,0.844,1.011,0.866,0.892,0.0,0.814,0.0,0.812,0.804,0.0,0.843,0.863,0.871,0.0,0.828,1.14,0.842,0.804,0.847,0.878,0.826,0.878,0.0,0.0,0.825,0.883,0.0,0.827,0.832,1.006,0.967,0.893,0.0,0.0,0.846,0.831,0.0,0.804,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0,0.882,0.0,0.855,0.897,0.841,0.803,0.923,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841,0.0,0.0,0.886,0.0,0.0,0.832,0.0,0.891,0.0,0.0,0.862,0.814,0.837,0.0,0.911,0.911,0.86,0.0,0.0,0.0,0.0,0.0,0.849,0.942,0.921,0.906,0.84,0.814,0.888,0.87,0.93,0.944,0.865,0.843,0.885,0.821,0.875,0.95,0.819,0.0,0.872,0.0,0.869,0.0,0.87,0.858,0.825,0.917,0.0,0.829,0.914,0.885,0.94,0.801,0.933,0.831,0.822,0.0,0.823,0.0,0.804,0.0,0.0,0.919,0.892,0.804,0.871,0.868,0.873,0.803,0.848,0.876,0.814,0.0,0.0,0.819
60,1.241,158.8205719,0.001,11.3468351,7.9e-05,1.4,0.525,0.322,0.426,0.546,0.342,0.451,0.78,0.731,0.749,0.495,1.205,0.794,0.0,1.205,0.494,200,113,0|74|88|60|39|89|56|24|23|147|161|176|155|28|90|178|148|154|34|41|187|113|84|171|174|149,1.205|1.198|1.048|1.047|1.046|1.003|0.993|0.984|0.939|0.937|0.932|0.931|0.926|0.923|0.919|0.918|0.915|0.914|0.909|0.905|0.904|0.903|0.902|0.901|0.899|0.899,1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887,0.0,0.0,0.879,0.0,0.0,0.0,0.878,0.898,0.0,0.845,0.892,0.886,0.889,0.939,0.984,0.866,0.0,0.0,0.923,0.882,0.887,0.0,0.0,0.863,0.909,0.0,0.86,0.0,0.822,1.046,0.865,0.905,0.835,0.851,0.834,0.807,0.853,0.817,0.0,0.0,0.865,0.861,0.828,0.845,0.893,0.842,0.993,0.0,0.0,0.834,1.047,0.864,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.853,0.862,0.0,0.828,1.198,0.85,0.0,0.838,0.873,0.821,0.873,0.0,0.0,0.822,0.902,0.0,0.851,0.826,1.048,1.003,0.919,0.0,0.0,0.869,0.819,0.0,0.0,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.862,0.0,0.829,0.869,0.809,0.0,0.903,0.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.0,0.0,0.871,0.0,0.0,0.807,0.0,0.872,0.0,0.0,0.845,0.0,0.816,0.0,0.897,0.895,0.843,0.0,0.0,0.0,0.0,0.0,0.84,0.937,0.915,0.899,0.826,0.0,0.875,0.856,0.914,0.926,0.841,0.824,0.867,0.0,0.857,0.932,0.804,0.0,0.85,0.0,0.848,0.0,0.846,0.841,0.804,0.901,0.0,0.815,0.899,0.873,0.931,0.0,0.918,0.814,0.806,0.0,0.806,0.0,0.0,0.0,0.0,0.904,0.879,0.0,0.85,0.849,0.85,0.0,0.829,0.866,0.804,0.0,0.0,0.812
70,1.192,153.6205444,0.001,11.0609283,7.9e-05,1.345,0.546,0.38,0.451,0.57,0.401,0.48,0.766,0.709,0.733,0.403,1.263,0.768,0.0,1.263,0.466,200,106,74|0|88|60|39|89|56|24|23|28|90|147|34|176|17|161|84|148|178|155|20|9|33|154|22|21,1.263|1.251|1.086|1.086|1.057|1.033|1.023|1.01|0.964|0.95|0.949|0.942|0.937|0.931|0.927|0.926|0.923|0.92|0.917|0.917|0.916|0.914|0.914|0.907|0.906|0.905,1.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914,0.0,0.0,0.875,0.0,0.0,0.0,0.884,0.927,0.0,0.872,0.916,0.905,0.906,0.964,1.01,0.879,0.0,0.0,0.95,0.892,0.904,0.0,0.0,0.914,0.937,0.0,0.853,0.0,0.807,1.057,0.853,0.894,0.819,0.834,0.818,0.0,0.837,0.0,0.0,0.0,0.848,0.844,0.81,0.828,0.877,0.83,1.023,0.0,0.0,0.82,1.086,0.86,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.817,0.837,0.849,0.0,0.825,1.263,0.853,0.0,0.826,0.867,0.812,0.867,0.0,0.0,0.822,0.923,0.0,0.882,0.821,1.086,1.033,0.949,0.0,0.0,0.89,0.803,0.0,0.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.0,0.815,0.856,0.0,0.0,0.895,0.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.868,0.0,0.0,0.0,0.0,0.867,0.0,0.0,0.84,0.0,0.81,0.0,0.897,0.89,0.836,0.0,0.0,0.0,0.0,0.0,0.841,0.942,0.92,0.902,0.822,0.0,0.872,0.852,0.907,0.917,0.827,0.815,0.86,0.0,0.85,0.926,0.0,0.0,0.841,0.0,0.838,0.0,0.835,0.833,0.0,0.896,0.0,0.809,0.894,0.871,0.931,0.0,0.917,0.812,0.805,0.0,0.805,0.0,0.0,0.0,0.0,0.9,0.878,0.0,0.846,0.845,0.843,0.0,0.823,0.871,0.816,0.0,0.0,0.81
80,1.139,148.4274292,0.001,10.8090467,7.9e-05,1.288,0.568,0.416,0.481,0.571,0.419,0.485,0.781,0.724,0.75,0.309,1.338,0.742,0.0,1.338,0.453,200,102,74|0|60|88|39|56|89|24|28|23|33|90|34|17|147|9|20|84|176|148|21|161|178|30|22|19,1.338|1.254|1.131|1.12|1.09|1.066|1.059|1.031|0.984|0.983|0.98|0.976|0.97|0.964|0.947|0.944|0.942|0.941|0.929|0.928|0.922|0.918|0.917|0.915|0.913|0.91,1.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944,0.0,0.0,0.866,0.0,0.0,0.0,0.884,0.964,0.0,0.91,0.942,0.922,0.913,0.983,1.031,0.892,0.0,0.0,0.984,0.903,0.915,0.0,0.0,0.98,0.97,0.0,0.858,0.0,0.808,1.09,0.855,0.896,0.816,0.832,0.813,0.0,0.833,0.0,0.0,0.0,0.842,0.836,0.801,0.821,0.874,0.83,1.066,0.0,0.0,0.813,1.131,0.869,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.811,0.83,0.845,0.0,0.834,1.338,0.862,0.0,0.822,0.87,0.813,0.869,0.0,0.0,0.822,0.941,0.0,0.909,0.822,1.12,1.059,0.976,0.0,0.0,0.91,0.0,0.0,0.0,0.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.847,0.0,0.0,0.891,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873,0.0,0.0,0.0,0.0,0.866,0.0,0.0,0.836,0.0,0.806,0.0,0.901,0.89,0.831,0.0,0.0,0.0,0.0,0.0,0.843,0.947,0.928,0.908,0.821,0.0,0.868,0.847,0.898,0.906,0.811,0.803,0.851,0.0,0.842,0.918,0.0,0.0,0.831,0.0,0.825,0.0,0.822,0.822,0.0,0.888,0.0,0.0,0.887,0.868,0.929,0.0,0.917,0.811,0.806,0.0,0.807,0.0,0.0,0.0,0.0,0.895,0.877,0.0,0.841,0.84,0.838,0.0,0.821,0.879,0.837,0.0,0.0,0.817
90,1.093,143.1378326,0.001,10.5871582,7.9e-05,1.236,0.611,0.459,0.54,0.604,0.465,0.533,0.768,0.727,0.735,0.215,1.403,0.716,0.0,1.403,0.445,200,99,74|0|60|88|39|56|89|33|24|28|17|34|23|90|9|20|19|147|84|148|21|176|86|93|178|30,1.403|1.214|1.169|1.139|1.137|1.108|1.07|1.056|1.051|1.021|1.01|1.008|0.999|0.998|0.978|0.969|0.954|0.953|0.953|0.939|0.933|0.932|0.931|0.925|0.925|0.925,1.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.857,0.0,0.0,0.0,0.882,1.01,0.0,0.954,0.969,0.933,0.912,0.999,1.051,0.912,0.0,0.0,1.021,0.918,0.925,0.0,0.0,1.056,1.008,0.0,0.873,0.0,0.818,1.137,0.863,0.905,0.819,0.835,0.816,0.0,0.832,0.0,0.0,0.0,0.839,0.831,0.0,0.817,0.873,0.835,1.108,0.0,0.0,0.808,1.169,0.882,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.806,0.824,0.842,0.0,0.848,1.403,0.868,0.0,0.821,0.875,0.817,0.875,0.0,0.0,0.824,0.953,0.0,0.931,0.829,1.139,1.07,0.998,0.0,0.0,0.925,0.0,0.0,0.0,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846,0.0,0.0,0.839,0.0,0.0,0.89,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.838,0.0,0.807,0.0,0.909,0.894,0.83,0.0,0.0,0.0,0.0,0.0,0.847,0.953,0.939,0.917,0.822,0.0,0.865,0.841,0.889,0.894,0.0,0.0,0.845,0.0,0.837,0.913,0.0,0.0,0.825,0.0,0.812,0.0,0.809,0.811,0.0,0.882,0.0,0.0,0.882,0.868,0.932,0.0,0.925,0.818,0.815,0.0,0.819,0.0,0.0,0.0,0.0,0.894,0.881,0.0,0.843,0.842,0.84,0.0,0.827,0.897,0.874,0.0,0.0,0.823
