dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,ig_ls,241.82,0.837,0.797,0.814,9|33|34|36|40|41|46|56|74|77|78|79|80|96|97|110|113|126|131|134|138|139|140|147|148|149|158|161|178|182
indian_pines,29,ig_ls,0.0,0.837,0.797,0.814,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|113|126|131|134|138|139|140|147|148|149|158|161|178|182
indian_pines,28,ig_ls,0.0,0.83,0.792,0.806,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|134|138|139|140|147|148|149|158|161|178|182
indian_pines,27,ig_ls,0.0,0.831,0.792,0.807,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|134|139|140|147|148|149|158|161|178|182
indian_pines,26,ig_ls,0.0,0.829,0.79,0.805,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|139|140|147|148|149|158|161|178|182
indian_pines,25,ig_ls,0.0,0.831,0.792,0.807,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|140|147|148|149|158|161|178|182
indian_pines,24,ig_ls,0.0,0.821,0.78,0.796,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|131|140|147|148|149|158|161|178|182
indian_pines,23,ig_ls,0.0,0.822,0.788,0.797,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|140|147|148|149|158|161|178|182
indian_pines,22,ig_ls,0.0,0.815,0.784,0.789,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|140|147|148|149|161|178|182
indian_pines,21,ig_ls,0.0,0.826,0.794,0.801,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|147|148|149|161|178|182
indian_pines,20,ig_ls,0.0,0.814,0.79,0.788,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|147|148|149|161|178
indian_pines,19,ig_ls,0.0,0.816,0.797,0.79,9|33|34|36|40|41|74|77|78|79|80|97|110|126|147|148|149|161|178
indian_pines,18,ig_ls,0.0,0.821,0.793,0.795,9|33|34|36|40|41|74|77|78|79|80|97|110|126|147|148|149|161
indian_pines,17,ig_ls,0.0,0.815,0.792,0.789,9|33|34|36|40|41|74|77|78|79|80|97|126|147|148|149|161
indian_pines,16,ig_ls,0.0,0.822,0.815,0.797,9|33|34|36|40|41|77|78|79|80|97|126|147|148|149|161
indian_pines,15,ig_ls,0.0,0.802,0.796,0.774,9|33|34|36|40|41|77|78|79|80|97|126|147|148|149
indian_pines,14,ig_ls,0.0,0.794,0.791,0.765,9|33|34|36|41|77|78|79|80|97|126|147|148|149
indian_pines,13,ig_ls,0.0,0.807,0.785,0.78,9|33|34|36|41|77|78|79|80|97|126|148|149
indian_pines,12,ig_ls,0.0,0.792,0.754,0.763,9|33|34|36|77|78|79|80|97|126|148|149
indian_pines,11,ig_ls,0.0,0.796,0.752,0.768,9|33|34|36|78|79|80|97|126|148|149
indian_pines,10,ig_ls,0.0,0.8,0.769,0.772,9|33|34|36|78|80|97|126|148|149
indian_pines,9,ig_ls,0.0,0.795,0.755,0.765,9|33|34|36|78|80|97|148|149
indian_pines,8,ig_ls,0.0,0.78,0.749,0.748,9|33|34|36|78|80|97|149
indian_pines,7,ig_ls,0.0,0.751,0.728,0.714,9|33|34|36|78|80|149
indian_pines,6,ig_ls,0.0,0.719,0.657,0.676,9|33|34|36|78|80
indian_pines,5,ig_ls,0.0,0.668,0.596,0.615,33|34|36|78|80
