dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,ig_ns,228.891,0.819,0.788,0.794,5|6|7|8|19|33|34|35|36|37|38|40|41|76|77|78|79|80|93|96|99|100|101|108|146|147|148|149|150|196,0
indian_pines,29,ig_ns,0.0,0.82,0.793,0.795,5|6|7|8|19|33|34|35|36|37|38|40|41|77|78|79|80|93|96|99|100|101|108|146|147|148|149|150|196,0
indian_pines,28,ig_ns,0.0,0.808,0.783,0.781,5|6|7|8|19|33|34|35|36|37|38|40|41|77|78|79|80|93|96|99|100|101|146|147|148|149|150|196,0
indian_pines,27,ig_ns,0.0,0.802,0.776,0.774,5|6|7|8|33|34|35|36|37|38|40|41|77|78|79|80|93|96|99|100|101|146|147|148|149|150|196,0
indian_pines,26,ig_ns,0.0,0.791,0.771,0.762,5|6|7|8|33|34|35|36|37|38|40|41|77|78|79|80|93|96|99|101|146|147|148|149|150|196,0
indian_pines,25,ig_ns,0.0,0.788,0.769,0.758,5|6|7|8|33|34|35|36|37|38|40|41|77|78|79|80|93|96|99|101|146|147|148|149|196,0
indian_pines,24,ig_ns,0.0,0.785,0.775,0.755,5|6|7|8|33|34|35|36|37|38|40|41|77|78|79|80|93|96|99|101|147|148|149|196,0
indian_pines,23,ig_ns,0.0,0.78,0.762,0.75,5|6|7|8|33|34|35|36|37|38|40|41|78|79|80|93|96|99|101|147|148|149|196,0
indian_pines,22,ig_ns,0.0,0.781,0.763,0.75,5|6|7|8|33|34|35|36|37|38|41|78|79|80|93|96|99|101|147|148|149|196,0
indian_pines,21,ig_ns,0.0,0.774,0.766,0.742,5|6|7|8|33|34|35|36|37|38|41|78|79|80|93|96|99|101|147|148|149,0
indian_pines,20,ig_ns,0.0,0.783,0.768,0.753,5|6|7|8|33|34|35|36|37|38|41|78|79|80|93|96|101|147|148|149,0
indian_pines,19,ig_ns,0.0,0.776,0.749,0.743,5|6|7|8|33|34|35|36|37|38|41|78|80|93|96|101|147|148|149,0
indian_pines,18,ig_ns,0.0,0.76,0.748,0.726,5|6|7|8|33|34|35|36|37|38|41|78|80|93|101|147|148|149,0
indian_pines,17,ig_ns,0.0,0.765,0.758,0.731,5|6|7|8|33|34|35|36|37|38|41|78|80|101|147|148|149,0
indian_pines,16,ig_ns,0.0,0.773,0.759,0.74,5|6|8|33|34|35|36|37|38|41|78|80|101|147|148|149,0
indian_pines,15,ig_ns,0.0,0.771,0.758,0.738,5|6|8|33|34|35|36|37|38|78|80|101|147|148|149,0
indian_pines,14,ig_ns,0.0,0.768,0.746,0.735,5|6|8|33|34|35|36|37|78|80|101|147|148|149,0
indian_pines,13,ig_ns,0.0,0.75,0.743,0.715,5|6|8|33|34|35|36|78|80|101|147|148|149,0
indian_pines,12,ig_ns,0.0,0.76,0.741,0.726,5|6|33|34|35|36|78|80|101|147|148|149,0
indian_pines,11,ig_ns,0.0,0.754,0.731,0.719,6|33|34|35|36|78|80|101|147|148|149,0
indian_pines,10,ig_ns,0.0,0.728,0.682,0.689,33|34|35|36|78|80|101|147|148|149,0
indian_pines,9,ig_ns,0.0,0.717,0.673,0.676,33|34|35|36|78|80|147|148|149,0
indian_pines,8,ig_ns,0.0,0.725,0.704,0.685,33|34|35|36|80|147|148|149,0
indian_pines,7,ig_ns,0.0,0.72,0.704,0.679,33|34|35|36|80|147|148,0
indian_pines,6,ig_ns,0.0,0.664,0.603,0.615,33|34|35|36|147|148,0
indian_pines,5,ig_ns,0.0,0.683,0.625,0.635,33|34|35|36|148,0
indian_pines,30,ig_ns,217.879,0.816,0.796,0.79,4|5|6|7|8|33|34|35|36|37|38|39|40|41|72|74|78|80|97|98|99|100|101|142|146|147|148|149|183|184,1
indian_pines,29,ig_ns,0.0,0.811,0.801,0.785,4|5|6|7|8|33|34|35|36|37|38|39|40|41|72|74|78|80|97|99|100|101|142|146|147|148|149|183|184,1
indian_pines,28,ig_ns,0.0,0.808,0.8,0.78,4|5|6|7|8|33|34|35|36|37|38|39|40|41|72|74|78|80|97|99|100|101|142|146|147|148|149|183,1
indian_pines,27,ig_ns,0.0,0.811,0.809,0.784,4|5|6|7|8|33|34|35|36|37|38|39|40|41|72|74|78|80|97|99|100|101|142|147|148|149|183,1
indian_pines,26,ig_ns,0.0,0.804,0.807,0.776,4|5|6|7|8|33|34|35|36|37|38|39|40|41|74|78|80|97|99|100|101|142|147|148|149|183,1
indian_pines,25,ig_ns,0.0,0.8,0.801,0.772,4|5|6|7|8|33|34|35|36|37|38|39|40|41|74|78|80|99|100|101|142|147|148|149|183,1
indian_pines,24,ig_ns,0.0,0.807,0.806,0.779,4|5|6|7|8|33|34|35|36|37|38|39|40|41|74|78|80|99|100|101|147|148|149|183,1
indian_pines,23,ig_ns,0.0,0.8,0.804,0.772,4|5|6|7|8|33|34|35|36|37|38|39|40|41|74|78|80|99|101|147|148|149|183,1
indian_pines,22,ig_ns,0.0,0.802,0.844,0.774,4|5|6|7|8|33|34|35|36|37|38|39|40|41|78|80|99|101|147|148|149|183,1
indian_pines,21,ig_ns,0.0,0.803,0.848,0.775,5|6|7|8|33|34|35|36|37|38|39|40|41|78|80|99|101|147|148|149|183,1
indian_pines,20,ig_ns,0.0,0.793,0.817,0.764,5|6|7|8|33|34|35|36|37|38|39|41|78|80|99|101|147|148|149|183,1
indian_pines,19,ig_ns,0.0,0.754,0.766,0.718,5|6|7|8|33|34|35|36|37|38|39|41|78|80|99|101|147|148|149,1
indian_pines,18,ig_ns,0.0,0.759,0.774,0.725,5|6|7|8|33|34|35|36|37|38|41|78|80|99|101|147|148|149,1
indian_pines,17,ig_ns,0.0,0.735,0.757,0.697,5|6|7|8|33|34|35|36|37|38|41|78|80|101|147|148|149,1
indian_pines,16,ig_ns,0.0,0.739,0.754,0.701,5|6|7|8|33|34|35|36|37|38|78|80|101|147|148|149,1
indian_pines,15,ig_ns,0.0,0.752,0.781,0.717,5|6|7|8|33|34|35|36|37|78|80|101|147|148|149,1
indian_pines,14,ig_ns,0.0,0.737,0.772,0.7,5|6|7|8|33|34|35|36|37|78|80|147|148|149,1
indian_pines,13,ig_ns,0.0,0.748,0.756,0.711,5|6|8|33|34|35|36|37|78|80|147|148|149,1
indian_pines,12,ig_ns,0.0,0.744,0.741,0.708,5|8|33|34|35|36|37|78|80|147|148|149,1
indian_pines,11,ig_ns,0.0,0.725,0.716,0.685,5|33|34|35|36|37|78|80|147|148|149,1
indian_pines,10,ig_ns,0.0,0.715,0.702,0.673,5|33|34|35|36|37|78|147|148|149,1
indian_pines,9,ig_ns,0.0,0.689,0.676,0.644,33|34|35|36|37|78|147|148|149,1
indian_pines,8,ig_ns,0.0,0.676,0.673,0.628,33|34|35|36|78|147|148|149,1
indian_pines,7,ig_ns,0.0,0.68,0.67,0.632,33|34|35|36|78|148|149,1
indian_pines,6,ig_ns,0.0,0.683,0.681,0.635,33|34|35|36|78|148,1
indian_pines,5,ig_ns,0.0,0.646,0.578,0.59,33|34|35|36|148,1
