dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,mlw_r_lr01,252.66,0.83,0.781,0.806,4|8|19|21|25|26|28|31|33|34|35|37|43|56|65|72|74|80|88|93|98|100|126|128|132|139|148|169|179|183
indian_pines,29,mlw_r_lr01,0.0,0.837,0.784,0.815,4|8|19|21|25|28|31|33|34|35|37|43|56|65|72|74|80|88|93|98|100|126|128|132|139|148|169|179|183
indian_pines,28,mlw_r_lr01,0.0,0.83,0.78,0.806,4|8|19|21|25|28|31|33|34|35|37|43|56|65|72|74|80|88|93|100|126|128|132|139|148|169|179|183
indian_pines,27,mlw_r_lr01,0.0,0.83,0.778,0.806,4|8|21|25|28|31|33|34|35|37|43|56|65|72|74|80|88|93|100|126|128|132|139|148|169|179|183
indian_pines,26,mlw_r_lr01,0.0,0.827,0.772,0.802,4|8|21|25|28|31|33|34|35|37|43|56|65|72|74|80|88|93|100|126|128|132|139|148|179|183
indian_pines,25,mlw_r_lr01,0.0,0.83,0.777,0.806,4|8|21|25|28|33|34|35|37|43|56|65|72|74|80|88|93|100|126|128|132|139|148|179|183
indian_pines,24,mlw_r_lr01,0.0,0.832,0.779,0.808,4|8|21|25|28|33|34|35|37|43|56|65|72|74|80|88|93|100|126|128|132|148|179|183
indian_pines,23,mlw_r_lr01,0.0,0.834,0.793,0.81,4|8|21|25|28|33|34|35|37|43|56|65|72|74|80|88|100|126|128|132|148|179|183
indian_pines,22,mlw_r_lr01,0.0,0.828,0.789,0.804,4|8|21|25|28|33|34|35|37|43|56|65|74|80|88|100|126|128|132|148|179|183
indian_pines,21,mlw_r_lr01,0.0,0.826,0.801,0.801,4|8|21|25|28|33|34|35|37|43|65|74|80|88|100|126|128|132|148|179|183
indian_pines,20,mlw_r_lr01,0.0,0.825,0.8,0.801,4|8|21|25|28|33|34|35|37|43|65|74|80|88|126|128|132|148|179|183
indian_pines,19,mlw_r_lr01,0.0,0.828,0.801,0.803,4|8|21|28|33|34|35|37|43|65|74|80|88|126|128|132|148|179|183
indian_pines,18,mlw_r_lr01,0.0,0.834,0.802,0.81,8|21|28|33|34|35|37|43|65|74|80|88|126|128|132|148|179|183
indian_pines,17,mlw_r_lr01,0.0,0.828,0.8,0.804,8|21|28|33|34|35|37|43|65|74|80|88|126|128|148|179|183
indian_pines,16,mlw_r_lr01,0.0,0.837,0.823,0.814,8|21|28|33|34|35|37|43|65|80|88|126|128|148|179|183
indian_pines,15,mlw_r_lr01,0.0,0.834,0.821,0.81,8|21|28|33|34|35|37|43|65|80|88|128|148|179|183
indian_pines,14,mlw_r_lr01,0.0,0.828,0.816,0.804,8|21|28|33|34|35|43|65|80|88|128|148|179|183
indian_pines,13,mlw_r_lr01,0.0,0.818,0.806,0.793,8|21|28|33|34|35|43|80|88|128|148|179|183
indian_pines,12,mlw_r_lr01,0.0,0.813,0.781,0.786,8|21|33|34|35|43|80|88|128|148|179|183
indian_pines,11,mlw_r_lr01,0.0,0.818,0.803,0.792,8|21|34|35|43|80|88|128|148|179|183
indian_pines,10,mlw_r_lr01,0.0,0.805,0.784,0.777,8|21|34|35|43|80|88|148|179|183
indian_pines,9,mlw_r_lr01,0.0,0.808,0.794,0.78,8|21|34|43|80|88|148|179|183
indian_pines,8,mlw_r_lr01,0.0,0.798,0.768,0.769,8|21|43|80|88|148|179|183
indian_pines,7,mlw_r_lr01,0.0,0.783,0.768,0.751,8|21|43|80|148|179|183
indian_pines,6,mlw_r_lr01,0.0,0.739,0.691,0.699,8|21|43|148|179|183
indian_pines,5,mlw_r_lr01,0.0,0.685,0.58,0.636,8|21|43|179|183
