dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,mlw_r_single,248.61,0.828,0.805,0.804,6|17|20|25|26|28|30|49|56|62|63|69|71|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,29,mlw_r_single,0.0,0.821,0.802,0.795,6|20|25|26|28|30|49|56|62|63|69|71|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,28,mlw_r_single,0.0,0.822,0.801,0.797,6|20|25|26|28|30|49|56|62|63|69|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,27,mlw_r_single,0.0,0.826,0.811,0.802,6|20|25|26|28|30|49|62|63|69|84|92|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,26,mlw_r_single,0.0,0.821,0.804,0.796,6|20|25|26|28|30|49|62|63|69|84|101|105|109|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,25,mlw_r_single,0.0,0.821,0.798,0.796,6|20|25|26|28|30|49|62|63|69|84|105|109|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,24,mlw_r_single,0.0,0.828,0.834,0.804,6|20|25|26|28|30|49|62|63|69|84|109|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,23,mlw_r_single,0.0,0.829,0.829,0.805,6|20|25|26|28|30|49|62|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,22,mlw_r_single,0.0,0.824,0.83,0.8,6|20|25|26|30|49|62|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,21,mlw_r_single,0.0,0.819,0.822,0.793,6|20|25|26|30|49|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,20,mlw_r_single,0.0,0.828,0.831,0.804,6|25|26|30|49|63|69|84|116|125|130|132|146|148|159|180|182|183|188|195
indian_pines,19,mlw_r_single,0.0,0.826,0.839,0.802,6|25|26|30|49|63|69|84|116|125|130|132|148|159|180|182|183|188|195
indian_pines,18,mlw_r_single,0.0,0.817,0.832,0.791,6|25|26|30|49|63|84|116|125|130|132|148|159|180|182|183|188|195
indian_pines,17,mlw_r_single,0.0,0.809,0.821,0.782,6|25|26|30|49|84|116|125|130|132|148|159|180|182|183|188|195
indian_pines,16,mlw_r_single,0.0,0.819,0.83,0.793,6|25|26|30|49|84|116|125|130|132|148|159|180|182|188|195
indian_pines,15,mlw_r_single,0.0,0.808,0.815,0.78,6|25|26|30|49|84|116|125|130|148|159|180|182|188|195
indian_pines,14,mlw_r_single,0.0,0.804,0.814,0.777,6|25|26|30|49|116|125|130|148|159|180|182|188|195
indian_pines,13,mlw_r_single,0.0,0.809,0.816,0.782,6|25|26|30|49|116|125|130|159|180|182|188|195
indian_pines,12,mlw_r_single,0.0,0.83,0.85,0.806,6|25|26|30|49|116|125|130|159|180|182|188
indian_pines,11,mlw_r_single,0.0,0.828,0.838,0.803,6|25|30|49|116|125|130|159|180|182|188
indian_pines,10,mlw_r_single,0.0,0.802,0.829,0.773,25|30|49|116|125|130|159|180|182|188
indian_pines,9,mlw_r_single,0.0,0.746,0.722,0.709,25|30|116|125|130|159|180|182|188
indian_pines,8,mlw_r_single,0.0,0.726,0.674,0.684,25|30|125|130|159|180|182|188
indian_pines,7,mlw_r_single,0.0,0.727,0.701,0.686,25|30|125|130|159|180|182
indian_pines,6,mlw_r_single,0.0,0.735,0.697,0.695,25|30|125|130|159|182
indian_pines,5,mlw_r_single,0.0,0.732,0.698,0.691,25|30|125|130|159
