epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.772,22.3742142,9.98e-05,0,0,2.774,0.008,0.003,0,0.008,0.004,0,0.666,0.607,0.614,0,0.406,0,0.0,0.406,0.049,200,94,82|102|96|175|24,0.406|0.393|0.314|0.268|0.25,0.186,0.0,0.061,0.0,0.0,0.0,0.101,0.127,0.087,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.132,0.0,0.096,0.0,0.023,0.0,0.0,0.0,0.25,0.0,0.157,0.09,0.008,0.0,0.046,0.0,0.038,0.022,0.043,0.0,0.085,0.004,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.132,0.043,0.0,0.141,0.097,0.003,0.0,0.0,0.008,0.0,0.0,0.0,0.151,0.0,0.073,0.137,0.115,0.067,0.0,0.074,0.0,0.076,0.01,0.065,0.0,0.0,0.031,0.029,0.0,0.0,0.073,0.121,0.029,0.0,0.128,0.0,0.0,0.406,0.188,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.058,0.014,0.0,0.0,0.081,0.314,0.0,0.0,0.0,0.016,0.031,0.393,0.021,0.0,0.016,0.169,0.055,0.0,0.067,0.0,0.0,0.172,0.192,0.0,0.0,0.0,0.0,0.059,0.0,0.02,0.037,0.0,0.237,0.161,0.191,0.0,0.0,0.227,0.164,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.004,0.17,0.154,0.0,0.096,0.058,0.0,0.104,0.0,0.05,0.0,0.0,0.0,0.0,0.102,0.0,0.057,0.011,0.183,0.231,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.006,0.0,0.268,0.128,0.0,0.019,0.178,0.0,0.186,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.159,0.168,0.0,0.0,0.0,0.069,0.0,0.069,0.0,0.038,0.012
10,0.848,927.3475342,9.78e-05,0,0,0.939,0.674,0.575,0.627,0.652,0.556,0.602,0.7,0.68,0.654,0,26.167,4.253,0.0,26.167,4.445,200,120,74|39|27|19|33,26.167|23.983|22.895|21.082|20.374,9.22,0.213,16.502,15.201,0.0,1.108,0.023,19.791,14.124,9.076,0.0,0.0,0.0,0.0,0.26,0.0,6.397,13.641,0.0,21.082,12.531,0.0,12.846,15.854,15.055,14.189,0.077,22.895,20.36,0.0,1.347,9.898,0.053,20.374,18.304,9.516,0.0,0.0,12.244,23.983,10.282,4.612,14.761,10.458,0.0,7.459,0.167,0.0,7.249,0.0,3.501,3.244,0.0,0.0,0.0,10.427,19.665,0.0,0.033,3.894,15.528,12.299,0.0,3.815,0.0,0.082,6.799,0.0,6.416,0.0,5.252,4.061,0.0,0.011,26.167,0.171,0.0,0.0,0.0,0.0,0.715,0.191,9.431,0.0,9.434,5.659,0.0,1.608,12.26,4.313,13.69,0.0,3.919,0.0,0.0,0.052,3.923,0.081,0.0,0.638,0.0,0.0,11.033,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.971,2.912,0.0,0.0,0.0,0.0,0.098,9.256,0.0,6.965,0.231,0.376,0.0,0.0,0.0,0.0,0.0,13.804,15.154,0.0,2.904,0.0,0.064,0.0,0.0,0.0,2.483,0.0,0.0,8.224,13.236,0.0,0.122,0.0,0.251,10.635,11.815,13.88,3.139,1.428,0.0,0.417,4.584,0.163,4.929,1.68,0.0,3.736,12.482,0.121,0.027,0.0,0.0,2.315,0.0,0.0,0.0,1.305,6.875,0.748,0.214,0.0,0.0,5.074,0.0,8.661,1.341,10.923,12.316,7.653,13.954,12.521,17.593,0.0,0.0,0.0,0.0,0.0,9.88,0.936,0.0,5.599,0.0,0.884,5.497,17.49,10.182,0.0,0.0
20,0.593,1027.2322998,9.59e-05,0,0,0.704,0.741,0.721,0.699,0.717,0.713,0.671,0.716,0.674,0.673,0,27.455,4.641,0.0,27.455,4.889,200,118,74|7|27|56|34,27.455|26.325|25.691|24.938|23.034,6.412,0.0,15.661,18.177,0.06,0.023,0.0,26.325,20.351,12.033,0.0,0.0,0.058,1.144,0.0,0.0,0.89,13.859,0.358,20.45,11.153,0.0,12.121,16.15,14.393,14.752,0.0,25.691,22.138,0.0,0.362,17.212,0.039,20.857,23.034,14.482,0.0,0.0,16.943,21.126,12.967,4.757,18.353,12.941,0.0,8.349,0.0,0.264,6.407,0.639,2.32,1.911,0.465,0.0,0.0,10.041,24.938,0.0,0.0,4.592,15.361,12.699,0.957,5.14,0.0,0.0,7.183,0.0,6.263,0.0,6.655,4.676,0.0,0.0,27.455,0.114,0.591,0.0,0.034,0.0,0.0,0.0,11.764,0.316,12.042,8.462,0.0,1.406,10.924,4.515,14.85,0.196,3.493,0.0,0.0,0.0,5.793,0.0,0.0,0.501,0.0,0.0,8.251,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.447,0.157,0.0,0.824,0.0,0.0,11.075,0.0,9.043,1.101,0.0,0.0,0.008,0.0,0.026,0.006,19.016,20.403,0.047,4.011,0.028,0.0,0.0,0.0,0.0,2.108,0.0,0.0,11.286,16.702,0.303,0.0,0.0,0.0,11.711,15.627,21.151,6.177,0.122,0.0,0.0,2.374,0.0,1.173,0.0,0.0,1.794,14.258,0.023,0.0,0.082,0.0,0.0,0.0,0.038,0.0,0.0,2.766,0.0,0.056,0.0,0.036,3.022,0.0,9.199,0.373,12.996,13.029,9.622,17.822,14.759,21.617,0.0,0.0,0.0,0.0,0.0,9.944,0.076,0.0,6.489,0.0,0.0,7.842,19.522,10.655,0.582,0.0
30,0.824,1040.9821777,9.4e-05,0,0,0.932,0.771,0.761,0.735,0.756,0.777,0.717,0.716,0.674,0.673,0,28.395,4.762,0.0,28.395,4.984,200,114,7|74|56|34|27,28.395|27.781|25.924|25.596|25.155,7.118,0.0,13.419,16.751,0.0,0.001,0.0,28.395,23.208,12.766,0.0,0.149,0.45,0.05,0.0,0.293,0.0,12.107,0.0,18.989,10.635,0.0,11.76,16.026,13.357,14.929,0.0,25.155,21.91,0.0,0.0,21.267,0.0,20.931,25.596,17.919,0.0,0.342,19.619,17.834,14.371,4.905,19.441,13.575,0.0,8.434,0.0,0.0,5.22,0.819,1.229,0.733,0.0,0.851,0.0,9.625,25.924,0.077,0.0,5.124,15.246,10.814,1.146,7.573,0.0,0.546,7.843,0.052,6.257,0.0,7.866,5.495,0.0,0.0,27.781,0.0,0.094,0.0,0.8,0.0,0.0,0.0,13.68,0.236,11.909,9.244,0.0,1.97,11.293,5.432,13.666,1.127,3.711,0.718,0.892,0.196,7.639,0.0,0.0,0.0,1.156,0.013,6.794,0.542,0.0,0.163,0.0,0.347,0.416,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,11.118,0.0,9.427,0.0,0.0,0.027,0.039,0.0,0.0,0.22,20.698,22.308,0.182,4.072,0.439,0.0,0.0,0.0,0.0,1.111,0.0,0.0,12.203,17.608,0.0,0.0,0.0,0.0,11.341,16.895,24.617,8.19,0.287,0.0,0.0,0.473,0.0,0.0,0.197,0.0,0.424,15.112,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.398,0.0,8.571,0.0,13.52,12.653,10.241,19.312,14.951,22.92,0.0,0.0,0.0,0.0,0.06,9.51,0.528,0.0,6.45,0.0,0.0,7.996,18.031,9.084,0.0,0.0
40,0.4,996.8519287,9.21e-05,0,0,0.494,0.815,0.824,0.787,0.783,0.769,0.75,0.695,0.641,0.649,0,27.968,4.417,0.0,27.968,4.701,200,98,7|74|34|148|56,27.968|26.92|26.174|25.118|24.358,7.18,0.0,11.552,14.967,0.387,0.0,0.174,27.968,24.082,12.73,0.0,0.0,0.0,0.259,0.058,0.0,0.0,10.197,0.0,16.913,9.557,0.688,10.566,14.434,11.718,13.89,0.0,22.769,19.873,0.0,0.0,22.038,0.629,19.81,26.174,18.996,0.0,0.123,20.634,14.873,14.486,4.598,18.967,12.95,0.0,7.683,0.0,0.0,3.428,0.0,0.0,0.0,0.0,0.0,0.0,8.402,24.358,0.0,0.254,5.534,13.475,9.036,0.0,9.074,0.0,0.0,8.147,0.0,5.87,0.0,7.919,5.658,0.0,0.0,26.92,0.0,0.0,0.0,0.0,0.441,0.049,0.0,13.532,0.358,11.354,8.594,0.0,2.215,11.713,6.288,11.812,0.0,3.423,0.0,0.922,0.0,8.137,0.0,0.0,0.0,0.0,0.0,5.523,0.0,0.0,0.057,0.0,0.0,0.0,0.53,0.262,0.0,0.1,0.0,0.0,0.006,0.097,0.0,10.313,0.0,8.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.514,22.201,0.0,3.861,0.0,0.0,0.0,0.13,0.0,0.286,0.176,0.0,11.965,16.925,0.144,0.0,0.0,0.0,10.017,16.228,25.118,9.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,14.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.306,0.0,7.547,0.0,13.179,11.573,10.04,19.024,13.997,22.143,0.0,0.0,0.0,0.0,0.0,8.72,0.0,0.0,6.031,0.0,0.0,7.133,15.515,7.263,1.045,0.0
50,0.584,962.5162354,9.03e-05,0,0,0.677,0.791,0.833,0.762,0.752,0.802,0.717,0.696,0.653,0.651,0,27.305,4.317,0.0,27.305,4.565,200,100,7|34|74|148|8,27.305|26.798|26.309|25.427|24.381,7.907,0.0,10.977,13.851,0.0,0.0,0.136,27.305,24.381,12.549,0.015,0.0,0.0,0.0,0.004,0.0,0.0,8.727,0.425,15.391,8.935,0.0,9.938,13.795,10.505,13.949,0.0,21.79,19.434,0.0,0.053,22.885,0.0,19.441,26.798,19.467,0.0,0.0,21.567,13.043,14.788,4.456,18.731,12.461,0.0,7.059,0.0,0.044,2.27,0.0,0.0,0.0,0.0,0.0,0.0,7.611,23.284,0.0,0.0,6.428,12.233,8.3,0.0,10.142,0.0,0.77,8.036,0.0,5.364,0.0,7.958,5.752,0.0,0.0,26.309,0.0,0.02,0.0,0.0,0.011,0.0,0.0,12.618,0.0,10.95,8.227,0.0,2.554,12.209,6.963,10.531,0.0,3.537,0.0,0.0,0.0,8.086,0.0,0.0,0.0,0.482,0.0,5.39,0.005,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,9.688,0.0,8.602,0.0,0.0,0.0,0.0,0.001,0.0,0.0,20.31,22.153,0.0,3.462,0.139,0.103,0.019,0.337,0.0,0.0,0.287,0.0,12.058,16.282,0.0,0.0,0.0,0.0,9.259,15.888,25.427,9.81,0.0,0.0,0.0,0.619,0.049,0.0,0.0,0.0,0.237,15.13,0.0,0.0,0.243,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.206,0.007,0.0,0.0,6.871,0.311,12.902,10.973,9.87,18.933,13.299,21.808,0.0,0.0,0.0,0.0,0.0,8.299,0.109,0.0,5.664,0.0,0.0,6.386,13.902,6.185,0.0,0.0
60,0.614,966.4057617,8.85e-05,0,0,0.688,0.783,0.786,0.747,0.751,0.764,0.709,0.696,0.653,0.651,0,28.746,4.489,0.0,28.746,4.66,200,106,34|7|74|148|8,28.746|27.683|26.908|26.844|25.656,8.4,0.0,11.212,13.665,0.05,0.0,0.365,27.683,25.656,13.199,0.0,0.189,0.016,0.0,0.11,0.0,0.036,7.855,0.0,14.982,8.853,0.559,10.44,13.709,10.268,14.72,0.0,21.614,19.188,0.11,0.0,23.0,0.0,20.204,28.746,21.078,0.0,0.0,23.616,12.422,15.737,4.657,19.072,12.355,0.0,6.8,0.0,0.0,1.267,0.086,0.276,0.0,0.0,0.12,0.0,7.16,23.278,0.0,0.0,7.248,11.707,8.068,0.0,11.146,0.0,0.0,7.979,0.0,4.844,0.0,7.864,5.866,0.0,0.0,26.908,0.0,0.0,0.731,0.0,0.0,0.0,0.0,12.519,0.0,10.748,7.935,0.0,3.379,12.909,7.76,10.429,0.12,4.004,0.0,0.0,0.0,8.568,0.0,0.0,0.0,0.0,0.0,5.088,0.376,0.043,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.727,0.0,0.0,0.0,0.0,9.623,0.0,8.675,0.222,0.0,0.0,0.0,0.0,0.0,0.0,21.021,22.96,0.0,3.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.631,16.303,0.0,0.0,0.0,0.784,8.859,16.333,26.844,10.99,0.283,0.146,0.0,0.0,0.359,0.0,0.0,0.0,0.0,15.903,0.796,0.628,0.649,0.0,0.108,0.0,0.257,0.057,0.62,0.0,0.0,0.186,0.0,0.0,0.416,0.0,6.306,0.0,12.867,10.726,9.921,19.333,13.04,22.213,0.0,0.0,0.31,0.0,0.0,8.269,0.0,0.0,5.484,0.0,0.02,6.178,12.702,5.602,0.298,0.0
70,0.521,946.1824951,8.68e-05,0,0,0.616,0.833,0.831,0.809,0.79,0.823,0.761,0.696,0.653,0.651,0,28.725,4.287,0.0,28.725,4.509,200,104,34|7|148|8|74,28.725|26.748|26.329|25.568|25.296,8.102,0.0,11.152,13.035,0.223,0.0,0.0,26.748,25.568,13.189,0.187,0.0,0.347,0.032,0.0,0.0,0.0,7.327,0.0,14.41,8.61,0.0,10.206,13.206,9.655,14.725,0.017,20.731,18.411,0.0,0.0,22.928,0.0,19.476,28.725,20.771,0.0,0.0,24.324,11.351,16.111,4.898,18.719,11.931,0.547,6.485,0.0,0.0,0.774,0.0,0.0,0.0,0.0,0.18,0.0,6.611,21.986,0.0,0.0,8.115,10.807,7.623,0.0,11.38,0.253,0.0,7.711,0.084,4.605,0.0,7.729,6.004,0.26,0.0,25.296,0.237,0.0,0.0,0.0,0.0,0.0,0.0,12.062,0.0,10.398,7.702,0.0,4.364,12.644,8.028,9.999,0.0,4.589,0.0,0.0,0.309,8.685,0.476,0.0,0.0,0.0,0.0,4.852,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.019,0.0,0.0,0.0,9.077,0.0,8.196,0.0,0.0,0.0,0.0,0.0,0.0,0.09,20.579,22.435,0.039,2.985,0.791,0.0,0.13,0.0,0.0,0.0,0.0,0.0,12.316,15.564,0.001,0.0,0.0,0.0,8.007,15.566,26.329,10.979,0.129,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,15.908,0.0,0.305,0.133,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,0.161,0.0,0.041,0.302,0.0,5.611,0.0,12.262,10.017,9.379,18.737,12.228,21.45,0.0,0.0,0.533,0.096,0.0,7.683,0.0,0.0,5.055,0.0,0.0,5.558,11.535,4.821,0.0,0.0
80,0.391,945.7463379,8.5e-05,0,0,0.461,0.813,0.842,0.782,0.774,0.831,0.738,0.693,0.65,0.647,0,29.498,4.264,0.0,29.498,4.496,200,103,34|148|7|8|38,29.498|26.728|26.409|26.025|25.606,7.565,0.0,11.364,12.568,0.0,0.081,0.0,26.409,26.025,13.28,0.0,0.0,0.036,0.002,0.0,0.0,0.0,6.626,0.117,13.895,8.436,0.002,10.263,12.543,9.076,14.339,0.248,20.243,17.642,0.0,0.017,22.964,0.0,19.519,29.498,21.384,0.0,0.0,25.606,11.28,16.468,4.992,18.593,11.689,0.0,6.201,0.0,0.003,0.313,0.06,0.284,0.0,0.066,0.0,0.0,6.454,21.913,0.0,0.0,9.052,10.601,7.501,0.0,11.607,0.0,0.0,7.566,0.502,4.447,0.801,7.684,6.311,0.0,0.0,25.6,0.0,0.657,0.0,0.0,0.0,0.0,0.0,11.708,0.009,10.377,7.41,0.0,5.068,12.901,8.237,10.034,0.0,4.881,0.0,0.0,0.0,8.448,0.0,0.0,0.0,0.088,0.0,4.715,0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,8.938,0.099,8.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.825,22.663,0.0,2.769,0.0,0.0,0.165,0.065,0.0,0.0,0.0,0.0,12.513,15.317,0.0,0.0,0.0,0.0,7.742,15.468,26.728,11.666,0.0,0.0,0.0,0.028,0.0,0.114,0.425,0.0,0.0,16.585,0.214,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.725,0.0,0.0,5.376,0.0,12.246,9.779,9.403,18.838,12.011,21.42,0.037,0.0,0.0,0.0,0.0,7.59,0.169,0.0,4.946,0.0,0.0,5.274,10.954,4.432,0.0,0.661
90,0.461,932.8154907,8.34e-05,0,0,0.53,0.871,0.897,0.853,0.844,0.874,0.822,0.693,0.65,0.647,0,29.609,4.129,0.0,29.609,4.396,200,92,34|148|38|8|7,29.609|26.447|26.045|26.041|25.622,7.316,0.0,11.583,12.494,0.064,0.457,0.405,25.622,26.041,13.414,0.0,0.0,0.0,0.0,0.0,0.019,0.0,6.255,0.0,13.547,8.391,0.0,10.438,12.519,8.736,14.538,0.0,19.788,16.826,0.0,0.0,22.339,0.0,19.287,29.609,21.279,0.0,0.042,26.045,10.611,16.605,5.064,18.002,11.173,0.605,5.772,0.0,0.03,0.0,0.0,0.315,0.478,0.0,0.0,0.0,5.916,20.769,0.0,0.0,9.752,10.044,6.95,0.0,11.609,0.0,0.0,7.157,0.0,3.949,0.0,7.316,6.173,0.0,0.0,24.453,0.0,0.0,0.0,0.0,0.0,0.0,0.514,11.301,0.0,10.235,7.295,0.0,5.682,12.557,8.589,9.537,0.0,5.449,0.0,0.0,0.0,8.383,0.0,0.0,0.0,0.0,0.0,4.793,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.568,0.0,7.898,0.0,0.0,0.383,0.0,0.0,0.0,0.0,20.621,22.445,0.0,2.614,0.0,0.0,0.0,0.0,0.727,0.049,0.0,0.0,12.63,14.805,0.0,0.0,0.0,0.06,6.998,15.172,26.447,11.829,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,16.743,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.177,0.127,0.0,4.777,0.0,11.833,9.232,9.092,18.203,11.45,20.814,0.0,0.0,0.0,0.0,0.0,7.122,0.041,0.0,4.54,0.0,0.0,5.131,10.234,3.938,0.0,0.0
