epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.757,200.0,0.001,14.1421356,0,2.957,0.002,0.062,0,0.001,0.062,0.0,0.561,0.488,0.499,1.0,1.0,1.0,1.0,1.0,1.0,200,200,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29,1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.671,189.086853,0.001,13.3749485,0,1.86,0.399,0.192,0.279,0.418,0.201,0.3,0.802,0.787,0.774,0.904,1.03,0.945,0.904,1.03,0.945,200,200,39|155|161|187|41|54|28|178|176|171|174|154|46|113|147|158|192|139|12|188|80|138|110|190|164|156|24|126|194|160,1.03|1.008|1.005|0.998|0.997|0.996|0.995|0.992|0.991|0.99|0.99|0.989|0.989|0.986|0.983|0.983|0.982|0.981|0.981|0.981|0.98|0.979|0.979|0.975|0.974|0.974|0.974|0.973|0.973|0.973,0.926,0.922,0.905,0.923,0.906,0.92,0.918,0.927,0.916,0.926,0.914,0.913,0.981,0.904,0.948,0.916,0.963,0.959,0.917,0.927,0.928,0.94,0.923,0.938,0.974,0.938,0.919,0.932,0.995,0.959,0.925,0.925,0.917,0.931,0.93,0.919,0.961,0.92,0.956,1.03,0.948,0.997,0.94,0.958,0.945,0.94,0.989,0.934,0.934,0.939,0.954,0.962,0.953,0.953,0.996,0.945,0.94,0.927,0.922,0.952,0.943,0.936,0.972,0.933,0.957,0.95,0.937,0.937,0.945,0.966,0.972,0.971,0.93,0.928,0.952,0.954,0.926,0.969,0.965,0.933,0.98,0.926,0.954,0.95,0.949,0.911,0.921,0.938,0.947,0.931,0.938,0.915,0.951,0.938,0.943,0.925,0.954,0.957,0.947,0.952,0.913,0.923,0.922,0.949,0.922,0.963,0.909,0.955,0.918,0.953,0.979,0.967,0.927,0.986,0.97,0.922,0.924,0.928,0.915,0.917,0.917,0.915,0.921,0.97,0.923,0.924,0.973,0.93,0.915,0.961,0.923,0.972,0.909,0.927,0.958,0.953,0.955,0.931,0.979,0.981,0.954,0.921,0.921,0.941,0.929,0.917,0.933,0.983,0.968,0.972,0.941,0.944,0.954,0.942,0.989,1.008,0.974,0.969,0.983,0.947,0.973,1.005,0.927,0.926,0.974,0.917,0.966,0.929,0.969,0.943,0.963,0.99,0.917,0.936,0.99,0.954,0.991,0.917,0.992,0.964,0.942,0.918,0.939,0.929,0.931,0.919,0.928,0.998,0.981,0.97,0.975,0.961,0.982,0.941,0.973,0.963,0.943,0.962,0.911,0.964
20,1.474,182.3379822,0.001,12.9052896,0,1.656,0.463,0.236,0.341,0.472,0.239,0.351,0.8,0.77,0.771,0.831,1.043,0.912,0.831,1.043,0.912,200,200,39|155|161|41|54|187|28|178|176|154|171|46|174|113|147|74|192|158|188|148|71|110|50|139|138|190|62|164|51|12,1.043|1.007|1.003|0.995|0.99|0.986|0.985|0.982|0.981|0.981|0.98|0.975|0.973|0.972|0.971|0.968|0.965|0.963|0.963|0.959|0.959|0.959|0.958|0.957|0.956|0.956|0.955|0.954|0.953|0.953,0.894,0.87,0.831,0.86,0.831,0.846,0.846,0.863,0.852,0.873,0.851,0.845,0.953,0.832,0.883,0.858,0.927,0.92,0.85,0.879,0.878,0.897,0.879,0.909,0.949,0.913,0.873,0.898,0.985,0.947,0.89,0.891,0.866,0.879,0.891,0.868,0.937,0.885,0.93,1.043,0.941,0.995,0.93,0.943,0.93,0.921,0.975,0.914,0.907,0.918,0.958,0.953,0.941,0.938,0.99,0.924,0.942,0.895,0.882,0.928,0.933,0.919,0.955,0.895,0.93,0.912,0.91,0.918,0.906,0.948,0.95,0.959,0.898,0.907,0.968,0.919,0.891,0.938,0.938,0.899,0.948,0.892,0.909,0.91,0.923,0.861,0.872,0.904,0.926,0.903,0.901,0.862,0.906,0.884,0.915,0.885,0.909,0.923,0.9,0.905,0.848,0.879,0.866,0.886,0.866,0.928,0.848,0.937,0.878,0.927,0.959,0.932,0.891,0.972,0.946,0.874,0.877,0.877,0.863,0.864,0.862,0.851,0.873,0.934,0.876,0.871,0.943,0.883,0.863,0.919,0.866,0.946,0.846,0.88,0.922,0.91,0.917,0.886,0.956,0.957,0.921,0.879,0.876,0.894,0.878,0.869,0.91,0.971,0.959,0.951,0.913,0.914,0.943,0.93,0.981,1.007,0.952,0.941,0.963,0.916,0.95,1.003,0.895,0.882,0.954,0.857,0.946,0.893,0.948,0.923,0.93,0.98,0.861,0.905,0.973,0.945,0.981,0.888,0.982,0.933,0.922,0.869,0.921,0.897,0.906,0.873,0.899,0.986,0.963,0.93,0.956,0.952,0.965,0.909,0.947,0.944,0.913,0.922,0.844,0.923
30,1.389,176.3889771,0.001,12.4944534,0,1.565,0.472,0.248,0.355,0.487,0.255,0.372,0.794,0.769,0.764,0.758,1.053,0.882,0.0,1.053,0.835,200,188,39|74|155|161|41|54|178|154|176|187|171|147|28|113|174|46|148|50|188|60|56|192|158|110|62|138|139|149|51|71,1.053|1.005|0.997|0.995|0.982|0.975|0.972|0.971|0.971|0.969|0.963|0.963|0.96|0.959|0.956|0.95|0.949|0.946|0.943|0.943|0.942|0.941|0.941|0.941|0.941|0.939|0.939|0.938|0.938|0.938,0.937,0.828,0.0,0.812,0.0,0.0,0.0,0.807,0.0,0.83,0.0,0.0,0.927,0.0,0.827,0.805,0.898,0.879,0.0,0.834,0.84,0.859,0.851,0.889,0.931,0.888,0.834,0.862,0.96,0.928,0.869,0.848,0.829,0.836,0.868,0.829,0.915,0.858,0.905,1.053,0.931,0.982,0.911,0.923,0.91,0.899,0.95,0.893,0.878,0.896,0.946,0.938,0.92,0.921,0.975,0.906,0.942,0.864,0.848,0.906,0.943,0.903,0.941,0.858,0.899,0.88,0.882,0.886,0.869,0.923,0.925,0.938,0.87,0.885,1.005,0.889,0.86,0.909,0.916,0.873,0.922,0.862,0.862,0.878,0.898,0.819,0.834,0.873,0.927,0.895,0.874,0.818,0.873,0.851,0.886,0.85,0.863,0.899,0.858,0.862,0.8,0.844,0.817,0.83,0.81,0.899,0.0,0.922,0.848,0.906,0.941,0.901,0.864,0.959,0.922,0.831,0.836,0.839,0.824,0.822,0.818,0.804,0.829,0.902,0.837,0.83,0.92,0.838,0.818,0.887,0.824,0.925,0.0,0.843,0.899,0.878,0.887,0.85,0.939,0.939,0.898,0.844,0.845,0.853,0.828,0.83,0.889,0.963,0.949,0.938,0.889,0.88,0.932,0.915,0.971,0.997,0.929,0.914,0.941,0.888,0.93,0.995,0.871,0.845,0.931,0.808,0.926,0.854,0.928,0.905,0.892,0.963,0.82,0.879,0.956,0.931,0.971,0.861,0.972,0.907,0.898,0.835,0.897,0.869,0.877,0.838,0.864,0.969,0.943,0.891,0.933,0.931,0.941,0.877,0.917,0.923,0.878,0.874,0.0,0.883
40,1.333,170.1755829,0.001,12.0695524,0,1.503,0.493,0.291,0.386,0.507,0.312,0.401,0.785,0.776,0.755,0.675,1.082,0.851,0.0,1.082,0.703,200,161,74|39|0|60|161|155|88|154|147|176|178|56|187|113|41|171|28|148|174|54|24|149|138|110|139|152|89|188|158|62,1.082|1.043|1.036|0.982|0.979|0.978|0.958|0.957|0.956|0.955|0.954|0.948|0.945|0.945|0.945|0.943|0.941|0.938|0.936|0.936|0.935|0.928|0.925|0.924|0.922|0.918|0.918|0.915|0.915|0.913,1.036,0.0,0.0,0.808,0.0,0.0,0.0,0.0,0.0,0.827,0.0,0.0,0.907,0.0,0.0,0.0,0.885,0.862,0.0,0.815,0.836,0.843,0.842,0.893,0.935,0.879,0.803,0.837,0.941,0.907,0.866,0.816,0.803,0.812,0.867,0.0,0.887,0.822,0.863,1.043,0.901,0.945,0.873,0.887,0.87,0.858,0.904,0.851,0.835,0.851,0.909,0.902,0.875,0.881,0.936,0.868,0.948,0.815,0.805,0.871,0.982,0.875,0.913,0.807,0.85,0.83,0.84,0.835,0.818,0.877,0.887,0.899,0.82,0.848,1.082,0.86,0.818,0.869,0.889,0.844,0.89,0.824,0.801,0.846,0.868,0.0,0.0,0.845,0.958,0.918,0.856,0.0,0.831,0.826,0.851,0.809,0.814,0.87,0.809,0.818,0.0,0.809,0.0,0.0,0.0,0.87,0.0,0.908,0.827,0.886,0.924,0.873,0.837,0.945,0.901,0.0,0.8,0.807,0.0,0.0,0.0,0.0,0.0,0.872,0.801,0.0,0.902,0.0,0.0,0.857,0.0,0.905,0.0,0.81,0.879,0.848,0.863,0.819,0.925,0.922,0.879,0.814,0.818,0.813,0.0,0.0,0.871,0.956,0.938,0.928,0.868,0.846,0.918,0.897,0.957,0.978,0.903,0.884,0.915,0.857,0.905,0.979,0.846,0.807,0.904,0.0,0.903,0.816,0.903,0.885,0.855,0.943,0.0,0.854,0.936,0.909,0.955,0.835,0.954,0.872,0.863,0.0,0.863,0.839,0.838,0.802,0.824,0.945,0.915,0.851,0.904,0.906,0.908,0.843,0.884,0.9,0.843,0.828,0.0,0.844
50,1.283,164.1641235,0.001,11.674365,0,1.447,0.513,0.313,0.411,0.532,0.325,0.433,0.791,0.775,0.762,0.586,1.191,0.821,0.0,1.191,0.553,200,127,74|0|60|39|88|56|89|161|24|155|147|176|154|28|178|41|113|148|171|149|187|23|138|174|139|54|110|152|62|29,1.191|1.148|1.055|1.036|1.022|0.988|0.973|0.949|0.945|0.943|0.94|0.932|0.931|0.928|0.926|0.923|0.92|0.918|0.912|0.912|0.912|0.911|0.909|0.908|0.907|0.904|0.897|0.894|0.893|0.89,1.148,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.0,0.889,0.0,0.0,0.0,0.886,0.876,0.0,0.819,0.844,0.84,0.841,0.911,0.945,0.875,0.0,0.823,0.928,0.89,0.864,0.0,0.0,0.809,0.886,0.0,0.869,0.0,0.833,1.036,0.879,0.923,0.844,0.861,0.841,0.827,0.872,0.822,0.804,0.814,0.881,0.871,0.84,0.848,0.904,0.837,0.988,0.0,0.0,0.847,1.055,0.863,0.893,0.0,0.816,0.0,0.81,0.8,0.0,0.845,0.86,0.872,0.0,0.83,1.191,0.862,0.0,0.845,0.874,0.827,0.87,0.0,0.0,0.844,0.882,0.0,0.0,0.841,1.022,0.973,0.885,0.0,0.0,0.851,0.828,0.0,0.0,0.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.883,0.0,0.855,0.897,0.832,0.801,0.92,0.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.884,0.0,0.0,0.828,0.0,0.888,0.0,0.0,0.859,0.817,0.834,0.0,0.909,0.907,0.859,0.0,0.0,0.0,0.0,0.0,0.846,0.94,0.918,0.912,0.842,0.801,0.894,0.869,0.931,0.943,0.864,0.845,0.878,0.813,0.868,0.949,0.815,0.0,0.862,0.0,0.868,0.0,0.866,0.856,0.811,0.912,0.0,0.823,0.908,0.879,0.932,0.805,0.926,0.828,0.817,0.0,0.819,0.805,0.0,0.0,0.0,0.912,0.88,0.807,0.861,0.871,0.864,0.801,0.846,0.875,0.808,0.0,0.0,0.822
60,1.257,158.4341736,0.001,11.3222704,0,1.416,0.541,0.383,0.449,0.556,0.389,0.466,0.822,0.799,0.797,0.495,1.255,0.792,0.0,1.255,0.485,200,111,74|0|60|88|39|56|89|24|28|147|161|23|155|176|154|41|90|148|178|34|149|84|17|113|171|187|138|174|16|3,1.255|1.223|1.093|1.062|1.037|1.014|1.005|0.963|0.935|0.934|0.933|0.933|0.926|0.92|0.917|0.913|0.913|0.912|0.909|0.907|0.907|0.902|0.9|0.9|0.897|0.897|0.894|0.894|0.891|0.89,1.223,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.884,0.0,0.0,0.877,0.0,0.0,0.0,0.891,0.9,0.0,0.842,0.861,0.844,0.849,0.933,0.963,0.885,0.0,0.833,0.935,0.883,0.872,0.0,0.0,0.831,0.907,0.0,0.857,0.0,0.818,1.037,0.869,0.913,0.83,0.846,0.826,0.812,0.859,0.807,0.0,0.0,0.866,0.855,0.824,0.834,0.888,0.823,1.014,0.0,0.0,0.835,1.093,0.86,0.879,0.0,0.8,0.0,0.0,0.0,0.0,0.831,0.846,0.86,0.0,0.827,1.255,0.868,0.0,0.833,0.865,0.817,0.86,0.0,0.0,0.847,0.902,0.0,0.0,0.838,1.062,1.005,0.913,0.0,0.0,0.874,0.807,0.0,0.0,0.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,0.0,0.833,0.874,0.8,0.0,0.9,0.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.804,0.0,0.0,0.865,0.0,0.0,0.0,0.0,0.869,0.0,0.0,0.841,0.0,0.811,0.0,0.894,0.888,0.841,0.0,0.0,0.0,0.0,0.0,0.838,0.934,0.912,0.907,0.831,0.0,0.884,0.856,0.917,0.926,0.841,0.827,0.862,0.0,0.849,0.933,0.801,0.0,0.839,0.0,0.851,0.0,0.846,0.841,0.0,0.897,0.0,0.807,0.894,0.866,0.92,0.0,0.909,0.809,0.8,0.0,0.802,0.0,0.0,0.0,0.0,0.897,0.866,0.0,0.838,0.855,0.841,0.0,0.828,0.864,0.0,0.0,0.0,0.806
70,1.206,152.5369873,0.001,10.9836502,0,1.359,0.546,0.381,0.453,0.556,0.389,0.464,0.819,0.787,0.793,0.398,1.312,0.763,0.0,1.312,0.444,200,101,74|0|60|88|39|56|89|24|28|23|90|34|147|161|17|3|84|155|176|148|154|149|41|178|9|93|171|16|138|113,1.312|1.246|1.122|1.088|1.045|1.038|1.025|0.97|0.948|0.943|0.938|0.937|0.935|0.925|0.924|0.921|0.921|0.916|0.916|0.914|0.909|0.908|0.906|0.902|0.901|0.894|0.892|0.891|0.89|0.889,1.246,0.0,0.0,0.921,0.0,0.0,0.0,0.0,0.0,0.901,0.0,0.0,0.861,0.0,0.0,0.0,0.891,0.924,0.0,0.863,0.871,0.84,0.845,0.943,0.97,0.884,0.0,0.845,0.948,0.871,0.871,0.0,0.0,0.882,0.937,0.0,0.851,0.0,0.807,1.045,0.862,0.906,0.818,0.834,0.813,0.0,0.847,0.0,0.0,0.0,0.854,0.842,0.81,0.821,0.875,0.813,1.038,0.0,0.0,0.824,1.122,0.862,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.819,0.831,0.848,0.0,0.827,1.312,0.872,0.0,0.822,0.859,0.81,0.854,0.0,0.0,0.854,0.921,0.0,0.0,0.842,1.088,1.025,0.938,0.0,0.0,0.894,0.0,0.0,0.0,0.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859,0.0,0.817,0.858,0.0,0.0,0.889,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.0,0.0,0.0,0.0,0.861,0.0,0.0,0.833,0.0,0.801,0.0,0.89,0.878,0.832,0.0,0.0,0.0,0.0,0.0,0.836,0.935,0.914,0.908,0.829,0.0,0.88,0.852,0.909,0.916,0.828,0.816,0.853,0.0,0.839,0.925,0.0,0.0,0.828,0.0,0.842,0.0,0.836,0.833,0.0,0.892,0.0,0.8,0.888,0.861,0.916,0.0,0.902,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,0.86,0.0,0.824,0.847,0.829,0.0,0.821,0.861,0.0,0.0,0.0,0.0
80,1.166,146.5756989,0.001,10.6725035,0,1.313,0.555,0.398,0.464,0.561,0.392,0.472,0.8,0.743,0.771,0.299,1.369,0.733,0.0,1.369,0.429,200,97,74|0|60|88|39|56|89|34|24|28|90|3|33|17|23|147|84|9|161|148|176|93|149|155|41|154|178|16|19|25,1.369|1.237|1.153|1.107|1.066|1.064|1.039|0.976|0.975|0.973|0.961|0.957|0.956|0.955|0.951|0.937|0.936|0.92|0.917|0.915|0.914|0.91|0.91|0.907|0.905|0.902|0.898|0.893|0.891|0.889,1.237,0.0,0.0,0.957,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.848,0.0,0.0,0.0,0.893,0.955,0.0,0.891,0.884,0.839,0.84,0.951,0.975,0.889,0.0,0.874,0.973,0.869,0.87,0.0,0.0,0.956,0.976,0.0,0.855,0.0,0.806,1.066,0.861,0.905,0.813,0.828,0.806,0.0,0.839,0.0,0.0,0.0,0.845,0.832,0.0,0.813,0.867,0.809,1.064,0.0,0.0,0.818,1.153,0.873,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.811,0.821,0.842,0.0,0.834,1.369,0.875,0.0,0.816,0.857,0.809,0.853,0.0,0.0,0.859,0.936,0.0,0.0,0.853,1.107,1.039,0.961,0.0,0.0,0.91,0.0,0.0,0.0,0.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.0,0.804,0.845,0.0,0.0,0.88,0.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.827,0.0,0.0,0.0,0.887,0.871,0.823,0.0,0.0,0.0,0.0,0.0,0.836,0.937,0.915,0.91,0.827,0.0,0.877,0.848,0.902,0.907,0.816,0.807,0.846,0.0,0.829,0.917,0.0,0.0,0.817,0.0,0.833,0.0,0.827,0.825,0.0,0.887,0.0,0.0,0.883,0.858,0.914,0.0,0.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.884,0.856,0.0,0.815,0.842,0.821,0.0,0.819,0.86,0.0,0.0,0.0,0.0
90,1.123,140.6384277,0.001,10.4025154,0,1.263,0.568,0.42,0.481,0.57,0.409,0.483,0.795,0.741,0.765,0.2,1.422,0.703,0.0,1.422,0.423,200,95,74|0|60|88|39|56|89|33|34|28|3|17|90|24|23|84|9|147|27|19|93|148|149|176|161|41|25|155|20|178,1.422|1.204|1.184|1.121|1.098|1.09|1.049|1.046|1.018|1.013|0.998|0.993|0.982|0.982|0.961|0.949|0.941|0.941|0.928|0.925|0.925|0.921|0.915|0.912|0.911|0.908|0.901|0.9|0.898|0.897,1.204,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.941,0.0,0.0,0.835,0.0,0.0,0.0,0.891,0.993,0.0,0.925,0.898,0.837,0.835,0.961,0.982,0.901,0.0,0.928,1.013,0.876,0.869,0.0,0.0,1.046,1.018,0.0,0.866,0.0,0.81,1.098,0.864,0.908,0.81,0.825,0.802,0.0,0.833,0.0,0.0,0.0,0.837,0.822,0.0,0.805,0.861,0.808,1.09,0.0,0.0,0.813,1.184,0.89,0.849,0.0,0.0,0.0,0.0,0.0,0.0,0.803,0.812,0.836,0.0,0.846,1.422,0.876,0.0,0.813,0.859,0.811,0.857,0.0,0.0,0.866,0.949,0.0,0.0,0.87,1.121,1.049,0.982,0.0,0.0,0.925,0.0,0.0,0.0,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.838,0.0,0.0,0.874,0.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.825,0.0,0.0,0.0,0.889,0.87,0.818,0.0,0.0,0.0,0.0,0.0,0.839,0.941,0.921,0.915,0.829,0.0,0.877,0.845,0.897,0.9,0.804,0.0,0.84,0.0,0.821,0.911,0.0,0.0,0.809,0.0,0.826,0.0,0.819,0.819,0.0,0.883,0.0,0.0,0.879,0.855,0.912,0.0,0.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881,0.856,0.0,0.811,0.84,0.816,0.0,0.824,0.864,0.0,0.0,0.0,0.0
