epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.937,100.0293045,9.98e-05,0,0,2.947,0.044,0.03,0,0.047,0.034,0.002,0.769,0.711,0.736,0.41,0.583,0.5,0.41,0.583,0.5,200,200,16|65|76|132|5|189|52|101|97|183|102|73|4|109|194|169|196|110|89|107|54|159|68|6|56|195|18|77|129|152,0.583|0.574|0.569|0.567|0.567|0.563|0.562|0.562|0.559|0.554|0.553|0.553|0.552|0.55|0.55|0.548|0.547|0.546|0.545|0.544|0.542|0.54|0.539|0.538|0.538|0.538|0.538|0.537|0.536|0.536,0.411,0.495,0.472,0.476,0.552,0.567,0.538,0.532,0.487,0.481,0.504,0.444,0.455,0.484,0.515,0.504,0.583,0.474,0.538,0.499,0.477,0.506,0.497,0.507,0.496,0.455,0.462,0.505,0.433,0.53,0.511,0.461,0.518,0.49,0.464,0.501,0.504,0.441,0.464,0.471,0.526,0.523,0.528,0.453,0.51,0.531,0.517,0.514,0.489,0.484,0.472,0.461,0.562,0.439,0.542,0.455,0.538,0.486,0.5,0.473,0.507,0.469,0.493,0.53,0.5,0.574,0.502,0.515,0.539,0.499,0.475,0.466,0.482,0.553,0.535,0.468,0.569,0.537,0.503,0.504,0.514,0.507,0.503,0.5,0.503,0.514,0.455,0.527,0.463,0.545,0.52,0.511,0.439,0.5,0.533,0.527,0.519,0.559,0.509,0.512,0.477,0.562,0.553,0.521,0.528,0.509,0.51,0.544,0.518,0.55,0.546,0.456,0.454,0.484,0.482,0.529,0.504,0.493,0.472,0.469,0.514,0.519,0.514,0.472,0.477,0.494,0.497,0.511,0.486,0.536,0.502,0.501,0.567,0.442,0.514,0.529,0.478,0.423,0.487,0.51,0.511,0.47,0.474,0.441,0.487,0.509,0.47,0.482,0.503,0.501,0.478,0.516,0.536,0.412,0.463,0.526,0.526,0.499,0.484,0.54,0.508,0.494,0.503,0.472,0.463,0.485,0.47,0.527,0.511,0.548,0.481,0.489,0.473,0.517,0.509,0.52,0.485,0.485,0.46,0.523,0.483,0.41,0.526,0.554,0.475,0.481,0.524,0.503,0.479,0.563,0.428,0.532,0.484,0.489,0.55,0.538,0.547,0.466,0.533,0.494
10,0.618,95.6379089,9.78e-05,0,0,0.627,0.789,0.709,0.757,0.77,0.638,0.734,0.815,0.769,0.789,0.137,0.972,0.478,0.129,0.972,0.478,200,200,8|6|4|19|159|16|189|7|174|169|157|122|65|3|176|26|96|167|36|30|186|191|76|116|183|70|46|24|59|5,0.972|0.946|0.819|0.806|0.804|0.796|0.793|0.782|0.78|0.769|0.752|0.75|0.735|0.716|0.701|0.698|0.671|0.67|0.667|0.667|0.666|0.665|0.658|0.658|0.654|0.642|0.64|0.637|0.636|0.63,0.585,0.574,0.569,0.716,0.819,0.63,0.946,0.782,0.972,0.475,0.614,0.466,0.375,0.299,0.564,0.621,0.796,0.316,0.39,0.806,0.468,0.348,0.201,0.563,0.637,0.529,0.698,0.341,0.472,0.581,0.667,0.491,0.129,0.462,0.512,0.48,0.667,0.304,0.381,0.436,0.478,0.588,0.325,0.628,0.344,0.357,0.64,0.389,0.358,0.434,0.431,0.351,0.625,0.263,0.429,0.343,0.551,0.567,0.447,0.636,0.198,0.586,0.408,0.508,0.212,0.735,0.237,0.325,0.613,0.419,0.642,0.34,0.52,0.539,0.47,0.348,0.658,0.447,0.377,0.341,0.517,0.249,0.493,0.269,0.591,0.365,0.606,0.335,0.393,0.465,0.369,0.535,0.287,0.523,0.262,0.427,0.671,0.471,0.531,0.468,0.26,0.507,0.229,0.5,0.614,0.615,0.457,0.473,0.323,0.561,0.567,0.352,0.479,0.493,0.372,0.546,0.658,0.405,0.448,0.547,0.605,0.202,0.75,0.323,0.132,0.594,0.329,0.352,0.594,0.5,0.241,0.388,0.6,0.266,0.602,0.462,0.589,0.427,0.239,0.621,0.505,0.231,0.503,0.315,0.242,0.575,0.295,0.492,0.369,0.34,0.275,0.503,0.382,0.454,0.523,0.529,0.26,0.752,0.408,0.804,0.385,0.277,0.582,0.585,0.618,0.395,0.519,0.67,0.541,0.769,0.588,0.602,0.335,0.487,0.78,0.424,0.701,0.414,0.414,0.564,0.489,0.51,0.264,0.654,0.573,0.434,0.666,0.62,0.203,0.793,0.416,0.665,0.36,0.297,0.37,0.573,0.256,0.578,0.245,0.361
20,0.386,95.484024,9.59e-05,0,0,0.395,0.838,0.846,0.815,0.805,0.838,0.777,0.783,0.715,0.753,0.161,0.965,0.477,0.158,0.965,0.477,200,200,6|8|159|7|19|16|169|157|122|4|3|30|174|189|26|167|65|43|120|186|116|96|59|164|191|5|105|176|76|24,0.965|0.932|0.797|0.793|0.772|0.764|0.764|0.762|0.76|0.745|0.741|0.724|0.724|0.713|0.7|0.699|0.688|0.684|0.677|0.675|0.674|0.674|0.674|0.664|0.659|0.653|0.651|0.65|0.646|0.644,0.536,0.56,0.612,0.741,0.745,0.653,0.965,0.793,0.932,0.551,0.622,0.397,0.395,0.287,0.572,0.627,0.764,0.291,0.444,0.772,0.504,0.31,0.214,0.558,0.644,0.574,0.7,0.339,0.429,0.545,0.724,0.478,0.159,0.407,0.473,0.452,0.626,0.361,0.436,0.466,0.448,0.554,0.327,0.684,0.356,0.361,0.631,0.376,0.391,0.388,0.419,0.333,0.601,0.262,0.443,0.302,0.532,0.584,0.413,0.674,0.2,0.55,0.455,0.502,0.228,0.688,0.277,0.322,0.624,0.426,0.629,0.293,0.436,0.548,0.436,0.334,0.646,0.424,0.358,0.315,0.526,0.24,0.534,0.301,0.584,0.342,0.554,0.343,0.37,0.494,0.358,0.516,0.302,0.538,0.293,0.358,0.674,0.394,0.556,0.516,0.263,0.482,0.269,0.418,0.612,0.651,0.456,0.444,0.353,0.561,0.547,0.388,0.448,0.474,0.349,0.535,0.674,0.304,0.416,0.531,0.677,0.215,0.76,0.363,0.158,0.588,0.289,0.36,0.634,0.517,0.244,0.411,0.585,0.286,0.601,0.448,0.6,0.47,0.225,0.606,0.49,0.221,0.525,0.286,0.275,0.589,0.312,0.519,0.391,0.413,0.296,0.514,0.377,0.504,0.594,0.488,0.253,0.762,0.437,0.797,0.377,0.243,0.569,0.536,0.664,0.405,0.529,0.699,0.495,0.764,0.55,0.575,0.314,0.504,0.724,0.421,0.65,0.393,0.47,0.536,0.464,0.476,0.261,0.614,0.592,0.471,0.675,0.621,0.211,0.713,0.408,0.659,0.436,0.459,0.395,0.581,0.294,0.58,0.255,0.373
30,0.424,95.5209808,9.4e-05,0,0,0.433,0.889,0.92,0.873,0.851,0.886,0.83,0.815,0.791,0.788,0.169,0.957,0.478,0.168,0.957,0.477,200,200,6|8|159|7|169|174|19|16|4|157|3|189|30|122|65|26|167|43|186|116|5|176|36|24|59|15|105|120|76|104,0.957|0.908|0.792|0.775|0.759|0.745|0.741|0.739|0.738|0.732|0.711|0.709|0.705|0.7|0.7|0.68|0.679|0.677|0.673|0.671|0.648|0.644|0.643|0.641|0.64|0.639|0.639|0.638|0.632|0.621,0.519,0.604,0.604,0.711,0.738,0.648,0.957,0.775,0.908,0.553,0.603,0.407,0.386,0.29,0.537,0.639,0.739,0.327,0.439,0.741,0.459,0.313,0.195,0.529,0.641,0.558,0.68,0.378,0.424,0.536,0.705,0.491,0.168,0.399,0.481,0.479,0.643,0.356,0.446,0.49,0.475,0.558,0.365,0.677,0.378,0.385,0.58,0.384,0.393,0.408,0.423,0.355,0.616,0.255,0.425,0.291,0.541,0.584,0.425,0.64,0.208,0.582,0.439,0.516,0.22,0.7,0.317,0.378,0.613,0.414,0.58,0.306,0.439,0.545,0.472,0.34,0.632,0.465,0.402,0.328,0.501,0.253,0.534,0.308,0.552,0.33,0.569,0.382,0.372,0.472,0.365,0.51,0.294,0.52,0.291,0.399,0.611,0.403,0.546,0.473,0.272,0.509,0.273,0.42,0.621,0.639,0.465,0.443,0.339,0.553,0.541,0.387,0.422,0.475,0.363,0.498,0.671,0.353,0.437,0.525,0.638,0.247,0.7,0.372,0.179,0.597,0.313,0.36,0.608,0.534,0.245,0.425,0.586,0.263,0.583,0.461,0.618,0.433,0.27,0.598,0.491,0.269,0.509,0.265,0.291,0.575,0.294,0.58,0.423,0.403,0.304,0.504,0.384,0.477,0.559,0.478,0.273,0.732,0.406,0.792,0.406,0.256,0.551,0.519,0.615,0.375,0.535,0.679,0.527,0.759,0.546,0.571,0.315,0.497,0.745,0.406,0.644,0.395,0.487,0.525,0.483,0.493,0.262,0.592,0.573,0.446,0.673,0.613,0.23,0.709,0.376,0.606,0.48,0.49,0.427,0.59,0.336,0.574,0.321,0.362
40,0.281,95.9218826,9.21e-05,0,0,0.29,0.851,0.889,0.829,0.808,0.849,0.779,0.813,0.765,0.787,0.178,0.942,0.48,0.174,0.942,0.479,200,200,6|8|159|7|19|157|174|169|16|3|65|167|24|30|4|189|186|122|43|26|36|116|76|59|171|105|120|136|15|147,0.942|0.86|0.779|0.757|0.742|0.742|0.74|0.731|0.722|0.71|0.696|0.695|0.682|0.682|0.674|0.673|0.667|0.663|0.656|0.653|0.629|0.624|0.616|0.615|0.613|0.613|0.609|0.609|0.607|0.607,0.544,0.599,0.57,0.71,0.674,0.575,0.942,0.757,0.86,0.523,0.598,0.407,0.389,0.322,0.535,0.607,0.722,0.328,0.407,0.742,0.473,0.34,0.218,0.526,0.682,0.515,0.653,0.428,0.462,0.575,0.682,0.538,0.176,0.428,0.527,0.474,0.629,0.374,0.469,0.471,0.477,0.534,0.41,0.656,0.419,0.412,0.55,0.388,0.415,0.416,0.41,0.391,0.584,0.298,0.421,0.324,0.525,0.57,0.456,0.615,0.201,0.577,0.461,0.487,0.233,0.696,0.323,0.357,0.571,0.422,0.573,0.345,0.48,0.544,0.485,0.38,0.616,0.425,0.419,0.306,0.513,0.274,0.515,0.332,0.519,0.329,0.558,0.418,0.402,0.447,0.369,0.478,0.314,0.492,0.281,0.362,0.586,0.436,0.509,0.466,0.32,0.483,0.303,0.452,0.579,0.613,0.464,0.434,0.41,0.538,0.552,0.43,0.439,0.474,0.4,0.487,0.624,0.366,0.514,0.546,0.609,0.267,0.663,0.373,0.174,0.578,0.351,0.375,0.582,0.498,0.247,0.433,0.591,0.269,0.58,0.482,0.609,0.452,0.297,0.553,0.468,0.27,0.531,0.279,0.261,0.552,0.345,0.607,0.416,0.399,0.321,0.513,0.407,0.446,0.504,0.498,0.334,0.742,0.443,0.779,0.426,0.295,0.545,0.541,0.597,0.407,0.506,0.695,0.543,0.731,0.523,0.613,0.304,0.488,0.74,0.456,0.566,0.413,0.51,0.532,0.5,0.517,0.238,0.54,0.585,0.477,0.667,0.587,0.262,0.673,0.385,0.588,0.516,0.49,0.466,0.537,0.412,0.526,0.337,0.368
50,0.247,96.7149506,9.03e-05,0,0,0.256,0.924,0.947,0.914,0.879,0.898,0.862,0.796,0.726,0.767,0.164,0.97,0.484,0.151,0.97,0.483,200,200,6|8|159|169|7|16|157|19|174|3|122|30|26|189|65|186|167|116|24|43|15|59|164|120|4|128|105|191|184|2,0.97|0.901|0.823|0.804|0.788|0.773|0.772|0.771|0.765|0.747|0.745|0.744|0.724|0.709|0.702|0.689|0.687|0.687|0.683|0.665|0.664|0.663|0.657|0.657|0.656|0.642|0.639|0.635|0.635|0.634,0.549,0.617,0.634,0.747,0.656,0.588,0.97,0.788,0.901,0.592,0.58,0.358,0.332,0.293,0.505,0.664,0.773,0.348,0.387,0.771,0.448,0.315,0.172,0.544,0.683,0.569,0.724,0.413,0.424,0.582,0.744,0.525,0.171,0.428,0.516,0.476,0.612,0.374,0.463,0.473,0.436,0.576,0.389,0.665,0.411,0.367,0.57,0.391,0.421,0.404,0.412,0.385,0.577,0.306,0.397,0.32,0.528,0.581,0.44,0.663,0.206,0.587,0.462,0.485,0.194,0.702,0.306,0.334,0.599,0.424,0.6,0.292,0.477,0.533,0.471,0.342,0.612,0.46,0.382,0.305,0.53,0.225,0.518,0.312,0.582,0.283,0.592,0.394,0.355,0.501,0.372,0.488,0.302,0.516,0.305,0.373,0.612,0.387,0.541,0.508,0.289,0.473,0.283,0.373,0.613,0.639,0.495,0.389,0.396,0.54,0.594,0.416,0.482,0.49,0.354,0.51,0.687,0.331,0.477,0.542,0.657,0.263,0.745,0.416,0.151,0.582,0.321,0.345,0.642,0.539,0.236,0.407,0.595,0.299,0.591,0.47,0.627,0.431,0.245,0.593,0.502,0.252,0.527,0.257,0.279,0.589,0.315,0.591,0.403,0.38,0.325,0.547,0.423,0.519,0.537,0.467,0.297,0.772,0.467,0.823,0.432,0.261,0.538,0.525,0.657,0.392,0.549,0.687,0.521,0.804,0.557,0.612,0.305,0.506,0.765,0.409,0.617,0.407,0.512,0.535,0.454,0.506,0.214,0.539,0.635,0.51,0.689,0.605,0.245,0.709,0.371,0.635,0.482,0.49,0.443,0.583,0.399,0.577,0.316,0.412
60,0.221,97.012413,8.85e-05,0,0,0.23,0.928,0.945,0.917,0.877,0.903,0.861,0.794,0.715,0.765,0.152,0.975,0.485,0.136,0.975,0.484,200,200,6|8|159|169|16|7|19|174|122|157|30|3|189|26|65|186|24|167|116|128|43|164|15|59|120|4|191|136|105|187,0.975|0.896|0.836|0.813|0.804|0.801|0.789|0.787|0.782|0.779|0.754|0.749|0.74|0.732|0.714|0.708|0.707|0.697|0.688|0.669|0.667|0.665|0.658|0.658|0.655|0.652|0.648|0.646|0.646|0.644,0.558,0.623,0.623,0.749,0.652,0.583,0.975,0.801,0.896,0.593,0.569,0.339,0.314,0.29,0.503,0.658,0.804,0.341,0.369,0.789,0.426,0.311,0.15,0.534,0.707,0.576,0.732,0.434,0.4,0.592,0.754,0.504,0.174,0.42,0.513,0.477,0.62,0.376,0.444,0.498,0.434,0.573,0.382,0.667,0.346,0.37,0.572,0.385,0.426,0.397,0.422,0.403,0.582,0.324,0.407,0.326,0.526,0.584,0.433,0.658,0.193,0.582,0.435,0.54,0.171,0.714,0.299,0.376,0.596,0.406,0.636,0.286,0.481,0.518,0.461,0.35,0.624,0.428,0.419,0.332,0.512,0.229,0.536,0.285,0.588,0.279,0.593,0.404,0.349,0.47,0.345,0.512,0.287,0.503,0.309,0.374,0.606,0.412,0.538,0.494,0.27,0.451,0.267,0.355,0.631,0.646,0.496,0.386,0.427,0.518,0.595,0.422,0.503,0.465,0.375,0.506,0.688,0.336,0.479,0.566,0.655,0.248,0.782,0.425,0.136,0.588,0.309,0.342,0.669,0.517,0.248,0.454,0.616,0.286,0.608,0.469,0.646,0.424,0.23,0.608,0.468,0.242,0.538,0.246,0.28,0.563,0.311,0.628,0.41,0.359,0.347,0.578,0.384,0.528,0.538,0.458,0.309,0.779,0.49,0.836,0.424,0.259,0.552,0.531,0.665,0.387,0.556,0.697,0.517,0.813,0.572,0.625,0.288,0.5,0.787,0.422,0.621,0.406,0.552,0.565,0.442,0.496,0.224,0.503,0.643,0.52,0.708,0.644,0.246,0.74,0.336,0.648,0.458,0.527,0.427,0.617,0.409,0.574,0.287,0.396
70,0.204,95.3525925,8.68e-05,0,0,0.212,0.927,0.929,0.916,0.88,0.895,0.863,0.823,0.786,0.798,0.148,0.975,0.477,0.131,0.975,0.476,200,200,6|8|159|7|174|19|16|169|122|157|3|30|4|65|24|189|26|186|59|116|167|43|15|171|128|70|36|120|147|136,0.975|0.888|0.824|0.804|0.788|0.782|0.779|0.775|0.771|0.75|0.735|0.725|0.716|0.71|0.707|0.702|0.699|0.694|0.692|0.685|0.682|0.666|0.643|0.64|0.639|0.638|0.628|0.628|0.628|0.628,0.566,0.622,0.585,0.735,0.716,0.607,0.975,0.804,0.888,0.53,0.591,0.349,0.347,0.26,0.513,0.643,0.779,0.319,0.391,0.782,0.434,0.321,0.157,0.493,0.707,0.545,0.699,0.418,0.438,0.601,0.725,0.57,0.131,0.423,0.506,0.442,0.628,0.357,0.458,0.47,0.477,0.593,0.398,0.666,0.351,0.38,0.557,0.39,0.412,0.429,0.428,0.395,0.596,0.251,0.477,0.327,0.538,0.567,0.428,0.692,0.162,0.562,0.479,0.533,0.184,0.71,0.321,0.336,0.583,0.415,0.638,0.285,0.475,0.57,0.502,0.317,0.617,0.44,0.395,0.325,0.499,0.211,0.507,0.267,0.571,0.273,0.598,0.399,0.364,0.5,0.377,0.504,0.236,0.493,0.287,0.367,0.596,0.376,0.508,0.438,0.254,0.51,0.254,0.36,0.6,0.624,0.449,0.421,0.375,0.549,0.562,0.427,0.443,0.483,0.363,0.495,0.685,0.326,0.437,0.509,0.628,0.226,0.771,0.381,0.14,0.57,0.348,0.353,0.639,0.555,0.159,0.453,0.59,0.264,0.581,0.472,0.628,0.432,0.24,0.58,0.479,0.244,0.538,0.253,0.246,0.556,0.307,0.628,0.372,0.388,0.311,0.53,0.378,0.505,0.547,0.461,0.296,0.75,0.407,0.824,0.446,0.264,0.561,0.519,0.596,0.347,0.541,0.682,0.506,0.775,0.534,0.64,0.256,0.509,0.788,0.431,0.616,0.374,0.535,0.559,0.474,0.553,0.198,0.529,0.612,0.458,0.694,0.62,0.223,0.702,0.331,0.609,0.469,0.452,0.428,0.577,0.369,0.563,0.283,0.353
80,0.178,96.5536728,8.5e-05,0,0,0.187,0.946,0.966,0.938,0.889,0.909,0.873,0.802,0.756,0.775,0.13,0.975,0.483,0.113,0.975,0.482,200,200,6|8|159|7|174|19|169|16|3|157|122|30|189|65|24|167|26|186|116|43|59|4|120|70|128|171|36|136|105|164,0.975|0.891|0.814|0.81|0.795|0.788|0.781|0.769|0.76|0.757|0.75|0.737|0.725|0.718|0.712|0.698|0.696|0.69|0.684|0.674|0.672|0.669|0.657|0.657|0.656|0.655|0.642|0.642|0.638|0.626,0.578,0.617,0.582,0.76,0.669,0.6,0.975,0.81,0.891,0.552,0.589,0.356,0.354,0.253,0.486,0.623,0.769,0.333,0.377,0.788,0.446,0.288,0.163,0.468,0.712,0.527,0.696,0.449,0.466,0.606,0.737,0.567,0.13,0.446,0.531,0.452,0.642,0.359,0.5,0.473,0.47,0.583,0.397,0.674,0.373,0.36,0.596,0.432,0.418,0.436,0.442,0.416,0.597,0.284,0.455,0.309,0.585,0.592,0.445,0.672,0.185,0.585,0.484,0.521,0.196,0.718,0.316,0.32,0.6,0.409,0.657,0.286,0.44,0.543,0.496,0.313,0.614,0.443,0.418,0.302,0.539,0.235,0.53,0.282,0.553,0.276,0.592,0.388,0.358,0.493,0.364,0.499,0.263,0.5,0.309,0.354,0.591,0.384,0.525,0.43,0.283,0.511,0.246,0.359,0.571,0.638,0.452,0.445,0.414,0.572,0.572,0.475,0.433,0.511,0.366,0.508,0.684,0.313,0.497,0.52,0.657,0.266,0.75,0.436,0.113,0.576,0.325,0.357,0.656,0.54,0.204,0.456,0.604,0.287,0.596,0.47,0.642,0.423,0.246,0.586,0.479,0.249,0.545,0.255,0.267,0.551,0.324,0.607,0.366,0.392,0.319,0.574,0.378,0.497,0.548,0.469,0.315,0.757,0.445,0.814,0.414,0.29,0.603,0.489,0.626,0.358,0.522,0.698,0.522,0.781,0.535,0.655,0.29,0.492,0.795,0.445,0.613,0.373,0.554,0.563,0.477,0.541,0.198,0.522,0.622,0.472,0.69,0.611,0.232,0.725,0.341,0.613,0.497,0.477,0.457,0.547,0.41,0.586,0.249,0.361
90,0.149,96.4618683,8.34e-05,0,0,0.158,0.942,0.956,0.934,0.882,0.9,0.866,0.804,0.755,0.776,0.131,0.977,0.482,0.107,0.977,0.481,200,200,6|8|159|7|16|174|169|122|19|3|157|30|26|189|116|65|186|24|59|167|43|128|171|120|184|15|136|105|4|187,0.977|0.893|0.819|0.805|0.799|0.792|0.788|0.783|0.777|0.772|0.767|0.755|0.739|0.731|0.707|0.706|0.695|0.691|0.69|0.683|0.665|0.664|0.663|0.657|0.647|0.645|0.644|0.641|0.639|0.636,0.592,0.616,0.611,0.772,0.639,0.573,0.977,0.805,0.893,0.585,0.574,0.327,0.322,0.276,0.458,0.645,0.799,0.324,0.343,0.777,0.424,0.301,0.149,0.493,0.691,0.578,0.739,0.464,0.418,0.6,0.755,0.553,0.133,0.419,0.522,0.453,0.615,0.357,0.472,0.483,0.468,0.587,0.388,0.665,0.364,0.373,0.573,0.391,0.451,0.444,0.417,0.417,0.617,0.265,0.43,0.328,0.547,0.553,0.44,0.69,0.161,0.59,0.441,0.537,0.173,0.706,0.3,0.318,0.594,0.425,0.625,0.307,0.457,0.545,0.53,0.317,0.599,0.435,0.399,0.302,0.52,0.23,0.545,0.298,0.55,0.265,0.592,0.403,0.348,0.508,0.358,0.513,0.251,0.498,0.279,0.35,0.592,0.379,0.516,0.461,0.25,0.48,0.276,0.345,0.612,0.641,0.493,0.375,0.434,0.539,0.597,0.424,0.484,0.514,0.367,0.496,0.707,0.341,0.454,0.55,0.657,0.256,0.783,0.435,0.107,0.559,0.362,0.36,0.664,0.552,0.197,0.456,0.6,0.296,0.602,0.468,0.644,0.427,0.22,0.579,0.451,0.242,0.539,0.265,0.268,0.546,0.296,0.6,0.366,0.379,0.328,0.577,0.379,0.524,0.555,0.455,0.304,0.767,0.444,0.819,0.45,0.275,0.575,0.503,0.621,0.354,0.548,0.683,0.528,0.788,0.548,0.663,0.296,0.513,0.792,0.443,0.605,0.367,0.555,0.593,0.463,0.516,0.198,0.501,0.647,0.487,0.695,0.636,0.255,0.731,0.331,0.635,0.461,0.498,0.433,0.58,0.407,0.611,0.296,0.36
