epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.774,22.3222427,0.001,1.9393452,0,2.796,0.019,0.025,0,0.018,0.024,0,0.789,0.742,0.76,-0.362,0.407,-0.013,-0.362,0.407,-0.013,200,188,82|102|182|14|96|175|117|152|142|47|154|24|56|25|123|158|128|114|187|166|160|122|110|65|58|31|97|180|135|52,0.407|0.394|0.362|0.34|0.313|0.268|0.265|0.256|0.256|0.254|0.248|0.246|0.245|0.244|0.236|0.233|0.229|0.227|0.218|0.216|0.215|0.212|0.21|0.207|0.204|0.204|0.199|0.196|0.195|0.193,0.185,0.184,0.061,0.068,0.191,0.07,0.101,0.128,0.086,0.02,0.057,0.056,0.091,0.176,0.34,0.051,0.132,0.024,0.095,0.068,0.025,0.114,0.095,0.0,0.246,0.244,0.157,0.09,0.0,0.054,0.048,0.204,0.04,0.021,0.044,0.077,0.084,0.0,0.15,0.015,0.114,0.066,0.041,0.146,0.084,0.132,0.042,0.254,0.138,0.096,0.0,0.041,0.193,0.0,0.096,0.126,0.245,0.151,0.204,0.072,0.135,0.115,0.065,0.044,0.075,0.207,0.078,0.0,0.068,0.116,0.0,0.032,0.026,0.179,0.122,0.068,0.121,0.032,0.024,0.127,0.144,0.075,0.407,0.191,0.0,0.139,0.048,0.043,0.157,0.059,0.141,0.056,0.015,0.13,0.149,0.079,0.313,0.199,0.051,0.134,0.015,0.029,0.394,0.02,0.175,0.017,0.165,0.057,0.111,0.068,0.21,0.0,0.171,0.192,0.227,0.102,0.109,0.265,0.058,0.178,0.022,0.036,0.212,0.236,0.162,0.192,0.131,0.14,0.229,0.164,0.147,0.012,0.042,0.042,0.088,0.195,0.113,0.086,0.045,0.0,0.171,0.155,0.256,0.094,0.055,0.089,0.102,0.065,0.05,0.071,0.104,0.181,0.256,0.101,0.248,0.059,0.0,0.18,0.233,0.168,0.215,0.066,0.105,0.152,0.041,0.154,0.216,0.085,0.013,0.107,0.091,0.139,0.031,0.0,0.074,0.268,0.126,0.088,0.019,0.177,0.196,0.188,0.362,0.069,0.169,0.115,0.013,0.218,0.094,0.161,0.167,0.057,0.108,0.078,0.072,0.077,0.071,0.025,0.039,0.013
10,2.263,114.0848312,0.001,10.1020021,0,2.377,0.239,0.062,0.0,0.24,0.062,0.0,0.762,0.7,0.729,-1.536,1.836,-0.1,-1.536,1.836,-0.1,200,190,96|82|151|13|154|54|122|99|119|185|16|165|141|183|142|44|31|92|187|144|189|38|56|37|114|23|103|46|48|83,1.836|1.773|1.536|1.52|1.511|1.492|1.484|1.466|1.436|1.383|1.38|1.327|1.324|1.318|1.3|1.235|1.223|1.22|1.211|1.198|1.196|1.18|1.177|1.147|1.139|1.104|1.102|1.096|1.092|1.052,0.012,0.021,0.025,0.299,0.019,0.383,0.27,0.364,0.645,0.0,1.008,0.117,0.662,1.52,0.068,0.0,1.38,0.75,0.468,0.044,0.0,0.819,0.326,1.104,0.301,0.0,0.794,0.171,0.41,0.249,0.051,1.223,0.287,0.277,0.24,0.421,0.732,1.147,1.18,0.824,0.852,0.551,0.813,0.248,1.235,0.391,1.096,0.51,1.092,0.077,0.35,0.0,0.187,0.176,1.492,0.734,1.177,0.853,0.608,0.031,0.374,0.01,0.697,0.036,0.0,0.1,0.072,0.706,0.758,0.242,0.584,0.506,0.0,0.747,0.275,0.092,0.212,1.051,0.129,0.626,0.223,0.78,1.773,1.052,0.737,0.619,0.987,0.223,0.137,0.048,1.03,0.7,1.22,0.71,0.307,0.8,1.836,0.579,0.349,1.466,0.051,1.028,0.671,1.102,0.608,0.059,0.516,0.646,0.082,0.477,0.12,0.181,0.977,0.966,1.139,0.581,0.827,0.539,0.891,1.436,0.815,0.917,1.484,0.656,0.855,0.0,0.473,0.524,0.497,0.726,0.913,0.681,0.01,0.916,0.809,0.488,0.781,0.639,0.314,0.49,0.777,1.324,1.3,0.458,1.198,0.49,0.408,0.561,0.742,0.428,0.612,1.536,0.641,0.231,1.511,0.692,0.0,0.627,0.237,0.172,0.29,0.633,0.154,0.183,0.059,1.327,0.936,0.074,0.734,0.59,0.031,0.388,0.689,0.617,0.64,0.814,0.03,0.692,0.803,0.357,0.861,0.19,0.034,1.318,0.275,1.383,0.285,1.211,0.748,1.196,0.523,0.253,0.046,0.453,0.044,0.145,1.045,0.051,0.0,0.23
20,2.038,111.7911987,0.001,10.6086063,0,2.149,0.362,0.125,0.195,0.364,0.125,0.195,0.783,0.75,0.753,-1.965,2.15,-0.071,-1.965,2.15,-0.071,200,195,96|154|46|48|185|54|56|82|165|141|92|68|166|122|151|40|183|119|37|70|142|58|113|23|86|99|114|189|187|60,2.15|1.965|1.856|1.767|1.751|1.662|1.649|1.648|1.636|1.567|1.561|1.539|1.514|1.468|1.459|1.443|1.439|1.43|1.425|1.396|1.389|1.377|1.294|1.284|1.279|1.264|1.252|1.226|1.199|1.179,0.161,0.019,0.036,0.163,0.013,0.038,0.132,0.039,0.543,0.021,0.694,0.049,0.376,1.123,0.13,0.085,0.953,0.501,0.032,0.0,0.01,0.592,0.089,1.284,0.205,0.035,0.699,0.096,0.043,0.065,0.298,0.935,0.047,0.122,0.04,0.045,0.452,1.425,0.935,0.804,1.443,0.335,0.718,0.74,0.859,0.696,1.856,0.489,1.767,0.11,1.043,0.0,0.421,0.015,1.662,0.172,1.649,0.489,1.377,0.221,1.179,0.121,0.68,0.029,0.435,0.312,0.098,0.339,1.539,0.814,1.396,0.044,0.197,0.411,0.465,0.47,0.33,0.559,0.144,0.673,0.184,0.584,1.648,0.922,0.33,0.54,1.279,0.62,0.07,0.0,0.773,0.376,1.561,0.422,0.896,0.471,2.15,0.322,0.289,1.264,0.166,0.821,0.072,0.844,0.503,0.0,0.459,0.108,0.053,0.434,0.062,0.186,0.944,1.294,1.252,0.802,0.623,0.446,0.912,1.43,0.7,0.682,1.468,0.472,0.395,0.056,0.09,0.224,0.22,0.568,0.74,0.441,0.071,0.934,0.902,0.398,0.486,0.365,0.189,0.347,0.693,1.567,1.389,0.313,1.027,0.141,0.212,0.592,0.847,0.501,0.5,1.459,0.319,0.136,1.965,0.586,0.07,0.704,0.134,0.127,0.065,0.358,0.081,0.11,0.112,1.636,1.514,0.038,1.019,1.085,0.187,0.58,0.749,0.424,1.04,0.895,0.044,1.016,0.809,0.097,0.843,0.079,0.0,1.439,0.449,1.751,0.621,1.199,0.926,1.226,0.37,0.494,0.107,0.291,0.166,0.074,0.862,0.044,0.055,0.134
30,1.767,148.8492279,0.001,15.4409399,0,1.916,0.361,0.125,0.196,0.362,0.125,0.196,0.774,0.757,0.742,-3.245,2.869,-0.089,-3.245,2.869,-0.089,200,192,154|46|48|68|70|185|58|56|166|165|54|40|60|169|183|96|37|23|50|92|142|113|174|189|114|141|168|151|119|69,3.245|2.972|2.869|2.725|2.716|2.682|2.572|2.552|2.539|2.496|2.489|2.451|2.344|2.231|2.199|2.19|2.177|2.134|2.093|2.072|2.053|2.044|2.001|1.988|1.891|1.851|1.835|1.806|1.678|1.675,0.103,0.048,0.118,0.128,0.021,0.013,0.047,0.025,0.314,0.063,0.044,0.012,0.459,0.509,0.054,0.102,0.461,0.339,0.0,0.057,0.0,0.614,0.229,2.134,0.076,0.0,0.939,0.047,0.0,0.096,0.156,0.991,0.38,0.054,0.122,0.206,0.353,2.177,0.569,1.284,2.451,0.365,1.154,1.568,0.841,1.572,2.972,0.783,2.869,0.409,2.093,0.015,1.37,0.023,2.489,0.028,2.552,0.459,2.572,0.215,2.344,0.176,0.488,0.146,1.218,0.242,0.219,0.087,2.725,1.675,2.716,0.024,0.861,0.191,1.348,0.789,0.07,0.09,0.101,0.55,0.053,0.587,1.408,1.054,0.144,0.52,1.086,0.901,0.383,0.267,0.235,0.159,2.072,0.412,1.456,0.034,2.19,0.422,0.14,0.717,0.124,0.446,0.245,0.666,0.099,0.0,0.518,0.027,0.025,0.761,0.09,0.52,1.345,2.044,1.891,1.295,0.298,0.015,1.265,1.678,0.857,0.658,1.649,0.364,0.173,0.156,0.057,0.091,0.207,0.696,0.496,0.123,0.014,0.965,1.156,0.554,0.734,0.115,0.456,0.058,1.006,1.851,2.053,0.012,1.15,0.453,0.231,0.782,1.405,0.589,0.688,1.806,0.602,0.069,3.245,0.552,0.117,1.623,0.063,0.075,0.116,0.646,0.1,0.037,0.185,2.496,2.539,0.0,1.835,2.231,0.029,1.277,1.386,0.695,2.001,1.368,0.061,1.6,1.175,0.293,1.081,0.093,0.0,2.199,1.089,2.682,1.599,1.306,1.627,1.988,0.0,1.258,0.023,0.335,0.019,0.469,0.945,0.068,0.15,0.068
40,1.613,162.989563,0.001,18.8481674,0,1.776,0.428,0.196,0.293,0.436,0.205,0.303,0.767,0.736,0.734,-4.19,3.649,-0.083,-4.19,3.649,-0.083,200,186,154|46|68|70|58|48|185|60|166|54|169|40|56|165|50|23|183|174|113|186|168|189|37|142|157|114|45|92|74|52,4.19|3.724|3.649|3.643|3.615|3.602|3.428|3.3|3.255|3.205|3.121|3.02|3.013|2.947|2.805|2.786|2.739|2.657|2.53|2.507|2.443|2.397|2.395|2.393|2.355|2.327|2.32|2.309|2.144|2.133,0.0,0.108,0.024,0.076,0.0,0.0,0.041,0.052,0.143,0.113,0.193,0.0,0.313,0.192,0.019,0.033,0.237,0.078,0.042,0.034,0.037,0.439,0.258,2.786,0.012,0.023,0.748,0.061,0.024,0.071,0.101,0.872,0.237,0.089,0.0,0.051,0.071,2.395,0.213,1.616,3.02,0.308,1.256,1.826,0.058,2.32,3.724,0.668,3.602,0.83,2.805,0.0,2.133,0.0,3.205,0.067,3.013,0.311,3.615,0.305,3.3,0.577,0.021,0.201,1.843,0.03,0.026,0.054,3.649,2.024,3.643,0.09,1.509,0.049,2.144,0.991,0.027,0.088,0.05,0.262,0.07,0.32,0.764,0.792,0.112,0.218,0.366,1.046,0.39,0.531,0.0,0.087,2.309,0.324,1.729,0.069,1.717,0.126,0.053,0.032,0.014,0.163,0.195,0.095,0.068,0.048,0.353,0.06,0.021,0.454,0.013,0.658,1.548,2.53,2.327,1.731,0.021,0.123,1.479,1.67,1.034,0.023,1.422,0.076,0.159,0.019,0.192,0.03,0.15,0.366,0.143,0.0,0.0,0.741,0.983,0.465,0.472,0.105,0.25,0.078,0.971,1.803,2.393,0.072,0.845,0.294,0.131,0.768,1.722,0.31,0.522,2.017,0.783,0.0,4.19,0.395,0.038,2.355,0.087,0.027,0.021,0.878,0.061,0.071,0.022,2.947,3.255,0.021,2.443,3.121,0.036,1.93,1.945,0.849,2.657,1.682,0.0,2.109,1.138,0.097,0.973,0.05,0.0,2.739,1.84,3.428,2.507,1.175,2.104,2.397,0.0,1.916,0.049,0.364,0.047,0.626,0.743,0.033,0.038,0.099
50,1.534,161.7259827,0.001,20.3352356,0,1.696,0.455,0.226,0.329,0.46,0.232,0.336,0.752,0.721,0.716,-4.639,4.437,-0.101,-4.639,4.437,-0.101,200,179,154|60|70|68|58|46|185|48|166|169|54|74|186|56|165|23|50|183|40|174|168|113|157|189|45|142|114|52|92|177,4.639|4.437|4.219|4.17|4.109|3.885|3.794|3.78|3.676|3.644|3.417|3.231|3.202|3.169|3.117|3.07|3.054|3.038|3.037|2.944|2.761|2.698|2.645|2.556|2.513|2.482|2.456|2.415|2.356|2.351,0.053,0.054,0.0,0.098,0.0,0.0,0.0,0.053,0.107,0.025,0.117,0.0,0.021,0.095,0.021,0.059,0.118,0.13,0.0,0.019,0.014,0.025,0.023,3.07,0.022,0.0,0.482,0.053,0.01,0.085,0.329,0.554,0.014,0.024,0.048,0.096,0.058,2.232,0.167,1.734,3.037,0.0,1.257,1.715,0.132,2.513,3.885,0.374,3.78,0.65,3.054,0.025,2.415,0.0,3.417,0.021,3.169,0.022,4.109,0.212,4.437,0.489,0.098,0.033,1.671,0.056,0.032,0.0,4.17,1.858,4.219,0.0,1.788,0.036,3.231,1.063,0.0,0.089,0.021,0.027,0.125,0.175,0.15,0.456,0.152,0.131,0.022,0.861,0.362,0.734,0.0,0.112,2.356,0.196,1.599,0.0,1.269,0.078,0.088,0.028,0.027,0.118,0.054,0.031,0.22,0.071,0.065,0.056,0.097,0.016,0.063,0.432,1.434,2.698,2.456,1.91,0.058,0.299,1.448,1.395,0.887,0.101,1.155,0.143,0.034,0.051,0.053,0.0,0.04,0.053,0.126,0.0,0.012,0.527,0.746,0.235,0.108,0.0,0.055,0.019,0.819,1.668,2.482,0.069,0.317,0.148,0.0,0.616,1.905,0.032,0.104,2.014,0.74,0.029,4.639,0.197,0.017,2.645,0.021,0.014,0.028,0.845,0.076,0.032,0.0,3.117,3.676,0.017,2.761,3.644,0.056,2.065,2.25,0.935,2.944,1.824,0.0,2.351,0.906,0.14,0.707,0.055,0.0,3.038,2.202,3.794,3.202,0.966,2.238,2.556,0.035,2.222,0.048,0.23,0.03,0.314,0.406,0.048,0.069,0.013
60,1.481,154.7602234,0.001,20.9063568,0,1.636,0.474,0.24,0.36,0.475,0.242,0.361,0.757,0.722,0.722,-4.871,5.54,-0.099,-4.871,5.54,-0.099,200,170,60|154|74|70|58|68|185|169|166|46|48|186|54|56|23|165|183|174|50|40|168|157|113|177|142|189|45|114|52|172,5.54|4.871|4.504|4.373|4.336|4.187|3.96|3.92|3.886|3.81|3.607|3.535|3.358|3.341|3.27|3.156|3.105|3.021|2.966|2.946|2.903|2.75|2.719|2.564|2.524|2.505|2.457|2.445|2.44|2.377,0.019,0.0,0.026,0.015,0.01,0.019,0.0,0.06,0.011,0.018,0.028,0.0,0.053,0.029,0.042,0.013,0.0,0.019,0.015,0.0,0.01,0.059,0.025,3.27,0.019,0.051,0.015,0.014,0.0,0.041,0.203,0.066,0.095,0.018,0.041,0.0,0.0,1.945,0.166,1.643,2.946,0.014,0.897,1.197,0.034,2.457,3.81,0.046,3.607,0.0,2.966,0.015,2.44,0.0,3.358,0.0,3.341,0.045,4.336,0.031,5.54,0.355,0.032,0.0,1.199,0.0,0.017,0.0,4.187,1.42,4.373,0.018,1.942,0.045,4.504,0.917,0.034,0.018,0.0,0.118,0.026,0.022,0.049,0.153,0.049,0.213,0.057,0.598,0.665,1.2,0.043,0.0,2.344,0.369,1.387,0.056,0.945,0.054,0.0,0.095,0.0,0.041,0.101,0.082,0.023,0.0,0.103,0.013,0.049,0.029,0.025,0.0,1.172,2.719,2.445,1.908,0.015,0.039,1.359,1.015,0.683,0.179,0.803,0.0,0.0,0.028,0.086,0.01,0.057,0.114,0.192,0.038,0.027,0.25,0.572,0.027,0.096,0.0,0.014,0.033,0.667,1.571,2.524,0.02,0.06,0.092,0.035,0.345,2.148,0.085,0.042,2.017,0.673,0.034,4.871,0.0,0.041,2.75,0.021,0.02,0.021,0.712,0.048,0.0,0.067,3.156,3.886,0.019,2.903,3.92,0.033,2.136,2.377,0.865,3.021,1.825,0.012,2.564,0.681,0.025,0.47,0.0,0.0,3.105,2.367,3.96,3.535,0.745,2.163,2.505,0.013,2.219,0.023,0.031,0.0,0.0,0.04,0.041,0.12,0.0
70,1.435,146.8245544,0.001,21.0457363,0,1.582,0.489,0.25,0.382,0.489,0.25,0.382,0.767,0.726,0.734,-6.004,6.536,-0.099,-6.004,6.536,-0.099,200,162,60|74|154|58|70|185|169|166|68|186|46|23|56|48|183|54|165|168|174|40|50|157|177|113|142|114|184|148|172|52,6.536|6.004|4.944|4.361|4.231|4.042|4.005|3.995|3.821|3.74|3.607|3.599|3.555|3.147|3.055|3.019|3.013|2.906|2.896|2.832|2.733|2.706|2.701|2.656|2.558|2.432|2.419|2.409|2.342|2.275,0.037,0.042,0.0,0.037,0.035,0.017,0.015,0.0,0.013,0.0,0.0,0.01,0.052,0.04,0.011,0.019,0.06,0.014,0.013,0.0,0.0,0.016,0.088,3.599,0.0,0.0,0.024,0.0,0.021,0.06,0.025,0.083,0.043,0.0,0.0,0.034,0.016,1.713,0.041,1.28,2.832,0.0,0.359,0.563,0.03,2.264,3.607,0.0,3.147,0.027,2.733,0.0,2.275,0.0,3.019,0.024,3.555,0.017,4.361,0.0,6.536,0.413,0.0,0.02,0.467,0.0,0.024,0.0,3.821,0.815,4.231,0.017,1.834,0.023,6.004,0.751,0.065,0.012,0.019,0.0,0.033,0.026,0.012,0.0,0.056,0.327,0.041,0.553,1.345,1.864,0.057,0.0,2.031,0.837,1.113,0.04,0.717,0.062,0.056,0.037,0.026,0.058,0.033,0.0,0.0,0.029,0.05,0.0,0.0,0.0,0.012,0.138,0.789,2.656,2.432,1.847,0.022,0.069,1.211,0.475,0.494,0.0,0.4,0.067,0.0,0.023,0.032,0.0,0.022,0.021,0.047,0.012,0.021,0.011,0.403,0.017,0.026,0.0,0.0,0.082,0.526,1.356,2.558,0.0,0.01,0.012,0.03,0.038,2.409,0.014,0.013,1.941,0.583,0.074,4.944,0.0,0.013,2.706,0.0,0.015,0.016,0.43,0.024,0.015,0.037,3.013,3.995,0.037,2.906,4.005,0.024,2.082,2.342,0.73,2.896,1.728,0.017,2.701,0.291,0.0,0.05,0.04,0.019,3.055,2.419,4.042,3.74,0.266,1.856,2.155,0.046,2.176,0.0,0.011,0.013,0.059,0.078,0.016,0.0,0.019
80,1.389,144.4462891,0.001,21.7995758,0,1.534,0.497,0.256,0.393,0.5,0.258,0.398,0.761,0.73,0.727,-7.701,7.122,-0.101,-7.701,7.122,-0.101,200,160,74|60|154|58|23|185|169|166|70|186|56|68|46|183|168|148|40|177|165|174|54|89|48|142|113|157|50|114|184|172,7.701|7.122|5.123|4.393|4.213|4.155|4.118|4.075|4.065|3.906|3.899|3.446|3.378|2.986|2.916|2.888|2.859|2.823|2.812|2.793|2.712|2.681|2.662|2.657|2.637|2.625|2.489|2.448|2.446|2.375,0.081,0.047,0.047,0.049,0.023,0.024,0.01,0.0,0.026,0.014,0.018,0.0,0.119,0.0,0.025,0.015,0.03,0.0,0.013,0.028,0.029,0.021,0.028,4.213,0.012,0.0,0.096,0.025,0.021,0.0,0.116,0.0,0.0,0.0,0.01,0.0,0.0,1.548,0.0,1.15,2.859,0.034,0.034,0.017,0.0,2.187,3.378,0.016,2.662,0.0,2.489,0.0,2.191,0.0,2.712,0.012,3.899,0.032,4.393,0.0,7.122,0.645,0.0,0.061,0.067,0.015,0.014,0.0,3.446,0.023,4.065,0.02,1.801,0.0,7.701,0.62,0.026,0.021,0.0,0.04,0.041,0.065,0.0,0.02,0.033,0.611,0.0,0.659,2.099,2.681,0.059,0.0,1.771,1.809,0.709,0.042,0.602,0.017,0.086,0.028,0.035,0.05,0.034,0.036,0.01,0.02,0.012,0.02,0.017,0.0,0.015,0.086,0.315,2.637,2.448,1.854,0.0,0.058,1.037,0.052,0.236,0.02,0.03,0.075,0.0,0.0,0.0,0.016,0.0,0.031,0.0,0.011,0.026,0.034,0.206,0.012,0.0,0.021,0.012,0.0,0.368,1.138,2.657,0.01,0.019,0.013,0.11,0.02,2.888,0.026,0.026,1.881,0.464,0.015,5.123,0.015,0.015,2.625,0.033,0.028,0.0,0.104,0.015,0.035,0.0,2.812,4.075,0.036,2.916,4.118,0.023,2.034,2.375,0.492,2.793,1.569,0.02,2.823,0.011,0.027,0.118,0.041,0.0,2.986,2.446,4.155,3.906,0.013,1.471,1.756,0.0,2.195,0.013,0.038,0.0,0.1,0.0,0.0,0.017,0.012
90,1.346,141.901474,0.001,22.2144489,0,1.488,0.509,0.262,0.41,0.518,0.267,0.421,0.76,0.714,0.726,-9.149,6.793,-0.109,-9.149,6.793,-0.109,200,162,74|60|154|23|58|56|169|185|166|186|70|148|89|46|93|177|183|168|40|142|68|88|174|113|165|114|184|157|172|54,9.149|6.793|5.236|5.078|4.268|4.212|4.176|4.174|4.065|3.98|3.717|3.426|3.311|3.03|3.011|2.896|2.884|2.856|2.856|2.746|2.742|2.654|2.612|2.597|2.502|2.475|2.424|2.409|2.408|2.294,0.108,0.01,0.0,0.0,0.053,0.028,0.0,0.0,0.015,0.0,0.016,0.0,0.035,0.018,0.0,0.0,0.036,0.0,0.038,0.0,0.015,0.011,0.029,5.078,0.012,0.023,0.082,0.022,0.035,0.016,0.268,0.026,0.044,0.017,0.026,0.021,0.038,1.278,0.022,1.441,2.856,0.028,0.0,0.038,0.0,2.021,3.03,0.061,2.11,0.025,2.097,0.039,1.961,0.0,2.294,0.0,4.212,0.054,4.268,0.014,6.793,1.129,0.0,0.0,0.137,0.012,0.037,0.012,2.742,0.086,3.717,0.031,1.583,0.014,9.149,0.429,0.024,0.011,0.014,0.011,0.026,0.011,0.019,0.011,0.017,0.96,0.045,0.878,2.654,3.311,0.041,0.013,1.452,3.011,0.068,0.046,0.448,0.013,0.014,0.037,0.01,0.0,0.016,0.012,0.018,0.0,0.0,0.039,0.031,0.039,0.011,0.074,0.047,2.597,2.475,1.899,0.016,0.0,0.865,0.04,0.05,0.028,0.027,0.016,0.032,0.0,0.0,0.035,0.0,0.012,0.0,0.0,0.04,0.052,0.032,0.015,0.0,0.045,0.021,0.012,0.154,0.881,2.746,0.023,0.019,0.0,0.032,0.105,3.426,0.015,0.032,1.732,0.281,0.012,5.236,0.022,0.0,2.409,0.039,0.014,0.0,0.013,0.011,0.08,0.0,2.502,4.065,0.0,2.856,4.176,0.0,1.977,2.408,0.197,2.612,1.376,0.0,2.896,0.066,0.035,0.022,0.023,0.011,2.884,2.424,4.174,3.98,0.036,0.884,1.209,0.0,1.919,0.013,0.059,0.0,0.027,0.0,0.0,0.029,0.0
